neuron_id,oscillation,mean_angle,neuron_type,session_name,group_name
161,theta,-2.98,SR,ESHOCK_09_LOC1,sham
162,delta,1.95,FF,ESHOCK_09_LOC1,sham
164,delta,-2.29,FF,ESHOCK_09_LOC1,sham
167,delta,-2.59,SR,ESHOCK_09_LOC1,sham
176,delta,-2.57,FF,ESHOCK_09_LOC1,sham
177,delta,-0.14,SR,ESHOCK_09_LOC1,sham
178,delta,1.76,SR,ESHOCK_09_LOC1,sham
179,delta,-2.33,SIR,ESHOCK_09_LOC1,sham
180,delta,-2.91,SIR,ESHOCK_09_LOC1,sham
181,delta,-2.77,FF,ESHOCK_09_LOC1,sham
182,delta,-3.04,FF,ESHOCK_09_LOC1,sham
182,theta,0.59,FF,ESHOCK_09_LOC1,sham
1011,delta,-2.86,SR,hamilton_10,acute_cit
1011,theta,2.5,SR,hamilton_10,acute_cit
1014,delta,-2.15,SIR,hamilton_10,acute_cit
1014,theta,0.96,SIR,hamilton_10,acute_cit
1018,delta,-2.12,SR,hamilton_10,acute_cit
1021,delta,-0.98,FF,hamilton_03,acute_sal
1024,delta,-2.14,SR,hamilton_03,acute_sal
1024,theta,1.5,SR,hamilton_03,acute_sal
1026,delta,-2.59,SR,hamilton_03,acute_sal
1026,theta,0.63,SR,hamilton_03,acute_sal
1027,delta,-2.29,SR,hamilton_03,acute_sal
1031,delta,3.11,FF,hamilton_04,acute_cit
1034,delta,-2.55,SR,hamilton_04,acute_cit
1037,delta,0.97,SIR,hamilton_04,acute_cit
1038,delta,2.48,SR,hamilton_04,acute_cit
1040,delta,3.06,SIR,hamilton_04,acute_cit
1050,delta,-0.11,SR,hamilton_04,acute_cit
1054,delta,-1.05,FF,hamilton_09,acute_cit
1054,theta,-1.68,FF,hamilton_09,acute_cit
1055,delta,-1.09,FF,hamilton_09,acute_cit
1055,theta,-1.44,FF,hamilton_09,acute_cit
1057,delta,-0.79,FF,hamilton_09,acute_cit
1057,theta,-1.73,FF,hamilton_09,acute_cit
1058,delta,-2.63,SR,hamilton_09,acute_cit
1058,theta,-1.49,SR,hamilton_09,acute_cit
1059,delta,-0.27,SR,hamilton_09,acute_cit
1059,theta,-1.96,SR,hamilton_09,acute_cit
1062,delta,-1.31,SIR,hamilton_09,acute_cit
1064,delta,1.76,FF,hamilton_09,acute_cit
1068,delta,-0.77,FF,hamilton_09,acute_cit
1068,theta,-1.67,FF,hamilton_09,acute_cit
2306,delta,0.21,FF,acute_15,acute_saline
2306,theta,2.01,FF,acute_15,acute_saline
2329,delta,0.37,SIR,acute_15,acute_saline
2335,delta,0.27,SR,acute_15,acute_saline
2339,delta,0.31,SIR,acute_15,acute_saline
2347,delta,0.1,SIR,acute_15,acute_saline
2348,delta,0.71,SIR,acute_15,acute_saline
2352,delta,0.12,FF,acute_15,acute_saline
2353,delta,2.54,SR,acute_15,acute_saline
2353,theta,1.08,SR,acute_15,acute_saline
2360,delta,0.38,SIR,acute_15,acute_saline
2406,delta,3.03,SR,acute_16,acute_saline
2406,theta,1.59,SR,acute_16,acute_saline
2407,delta,-0.39,SIR,acute_16,acute_saline
2407,theta,-2.54,SIR,acute_16,acute_saline
2408,delta,3.11,FF,acute_16,acute_saline
2408,theta,-0.08,FF,acute_16,acute_saline
2410,delta,2.69,SIR,acute_16,acute_saline
2410,theta,0.53,SIR,acute_16,acute_saline
2411,delta,2.99,SR,acute_16,acute_saline
2411,theta,0.28,SR,acute_16,acute_saline
2413,delta,-1.36,SIR,acute_16,acute_saline
2413,theta,-3.05,SIR,acute_16,acute_saline
2414,delta,-0.4,SR,acute_16,acute_saline
2415,delta,-0.82,FF,acute_16,acute_saline
2415,theta,2.34,FF,acute_16,acute_saline
2418,delta,-2.58,SIR,acute_16,acute_saline
2420,delta,-3.01,FF,acute_16,acute_saline
2422,delta,2.43,FF,acute_16,acute_saline
2422,theta,2.6,FF,acute_16,acute_saline
2424,delta,2.52,FF,acute_16,acute_saline
2425,delta,-1.28,SIR,acute_16,acute_saline
2428,delta,-2.34,SIR,acute_16,acute_saline
2428,theta,2.27,SIR,acute_16,acute_saline
2429,delta,-2.71,FF,acute_16,acute_saline
2429,theta,2.91,FF,acute_16,acute_saline
2461,delta,-0.52,SR,acute_14,acute_saline
2463,delta,-0.76,SR,acute_14,acute_saline
2463,theta,-2.94,SR,acute_14,acute_saline
2464,delta,-0.85,SR,acute_14,acute_saline
2464,theta,2.76,SR,acute_14,acute_saline
2469,delta,-0.38,SIR,acute_14,acute_saline
2472,delta,-0.36,SR,acute_14,acute_saline
2472,theta,-2.66,SR,acute_14,acute_saline
2475,delta,-0.6,FF,acute_14,acute_saline
2475,theta,2.85,FF,acute_14,acute_saline
2476,delta,-0.6,FF,acute_14,acute_saline
2476,theta,2.97,FF,acute_14,acute_saline
2478,delta,-0.75,SR,acute_14,acute_saline
2478,theta,3.03,SR,acute_14,acute_saline
2480,delta,-0.53,SR,acute_14,acute_saline
2480,theta,-2.88,SR,acute_14,acute_saline
2481,delta,-0.59,SR,acute_14,acute_saline
2482,delta,-0.52,FF,acute_14,acute_saline
2482,theta,2.88,FF,acute_14,acute_saline
2485,delta,-0.55,FF,acute_14,acute_saline
2485,theta,2.75,FF,acute_14,acute_saline
2487,delta,-0.85,SR,acute_14,acute_saline
2489,delta,-0.56,SR,acute_14,acute_saline
2489,theta,2.71,SR,acute_14,acute_saline
2493,delta,-0.68,SR,acute_14,acute_saline
2496,delta,-0.72,SR,acute_14,acute_saline
2524,delta,-2.99,SR,acute_12,acute_saline
2526,delta,0.4,SR,acute_12,acute_saline
2531,delta,0.13,SR,acute_12,acute_saline
2542,delta,2.48,SIR,acute_12,acute_saline
2548,delta,-0.74,SR,acute_12,acute_saline
2551,delta,-0.64,SR,acute_12,acute_saline
2555,delta,0.42,SR,acute_12,acute_saline
2559,delta,0.78,SIR,acute_12,acute_saline
2559,theta,1.42,SIR,acute_12,acute_saline
2560,delta,0.74,SR,acute_12,acute_saline
2562,delta,0.26,SR,acute_12,acute_saline
2566,delta,-3.05,SR,acute_12,acute_saline
2569,delta,0.83,SR,acute_12,acute_saline
2571,delta,-3.01,SR,acute_12,acute_saline
2573,delta,-3.13,SR,acute_12,acute_saline
2574,delta,0.6,SR,acute_12,acute_saline
2574,theta,2.21,SR,acute_12,acute_saline
2575,delta,0.45,SR,acute_12,acute_saline
2577,delta,-0.8,SR,acute_12,acute_saline
2578,delta,0.73,SR,acute_12,acute_saline
2585,delta,2.71,SIR,acute_12,acute_saline
2586,delta,-2.37,SIR,acute_12,acute_saline
2586,theta,-0.81,SIR,acute_12,acute_saline
2590,delta,2.87,SIR,acute_12,acute_saline
2592,delta,-2.96,FF,acute_11,acute_saline
2593,delta,-2.61,FF,acute_11,acute_saline
2594,delta,1.94,SIR,acute_11,acute_saline
2595,delta,-0.07,SIR,acute_11,acute_saline
2595,theta,1.82,SIR,acute_11,acute_saline
2596,delta,-2.52,FF,acute_11,acute_saline
2596,theta,1.01,FF,acute_11,acute_saline
2598,delta,-2.78,SR,acute_11,acute_saline
2598,theta,1.37,SR,acute_11,acute_saline
2601,delta,1.37,SIR,acute_11,acute_saline
2601,theta,1.5,SIR,acute_11,acute_saline
2604,delta,-1.5,SR,acute_11,acute_saline
2604,theta,1.19,SR,acute_11,acute_saline
2606,delta,-2.43,SIR,acute_11,acute_saline
2606,theta,1.36,SIR,acute_11,acute_saline
2607,delta,-2.72,FF,acute_11,acute_saline
2608,delta,-2.6,SIR,acute_11,acute_saline
2610,delta,-2.82,FF,acute_11,acute_saline
2610,theta,1.01,FF,acute_11,acute_saline
2611,delta,-2.26,FF,acute_11,acute_saline
2611,theta,1.19,FF,acute_11,acute_saline
2612,delta,2.27,SR,acute_11,acute_saline
2612,theta,1.46,SR,acute_11,acute_saline
2613,delta,-2.68,FF,acute_11,acute_saline
2613,theta,1.06,FF,acute_11,acute_saline
2616,delta,-2.83,FF,acute_11,acute_saline
2616,theta,1.06,FF,acute_11,acute_saline
2618,delta,-0.6,SIR,acute_11,acute_saline
2619,delta,-1.16,SIR,acute_11,acute_saline
2620,delta,-0.73,SIR,acute_11,acute_saline
2620,theta,-2.71,SIR,acute_11,acute_saline
2621,delta,-1.37,SIR,acute_11,acute_saline
2622,delta,0.17,SR,acute_11,acute_saline
2622,theta,1.01,SR,acute_11,acute_saline
2623,delta,-2.14,FF,acute_11,acute_saline
2623,theta,1.15,FF,acute_11,acute_saline
2624,delta,-2.2,FF,acute_11,acute_saline
2624,theta,1.25,FF,acute_11,acute_saline
2625,delta,-2.67,SR,acute_11,acute_saline
2625,theta,1.09,SR,acute_11,acute_saline
2626,delta,0.92,SIR,acute_11,acute_saline
2626,theta,1.13,SIR,acute_11,acute_saline
2627,delta,-0.21,SIR,acute_11,acute_saline
2628,delta,-0.29,SIR,acute_11,acute_saline
2629,delta,-0.57,SIR,acute_11,acute_saline
2630,delta,-2.8,FF,acute_11,acute_saline
2630,theta,0.91,FF,acute_11,acute_saline
2634,delta,-0.64,SIR,acute_11,acute_saline
9,theta,0.95,SIR,ESHOCK_04_LOC1,shock
36,theta,1.99,SR,ESHOCK_04_LOC1,shock
38,theta,1.46,SR,ESHOCK_04_LOC1,shock
42,theta,1.4,FF,ESHOCK_04_LOC1,shock
47,theta,1.84,SR,ESHOCK_04_LOC1,shock
1015,theta,1.55,SR,hamilton_10,acute_cit
1022,theta,2.64,SIR,hamilton_03,acute_sal
1028,theta,1.39,SR,hamilton_03,acute_sal
1030,theta,1.8,SR,hamilton_03,acute_sal
1052,theta,-2.1,SR,hamilton_09,acute_cit
1060,theta,-2.6,SR,hamilton_09,acute_cit
1061,theta,-1.92,SR,hamilton_09,acute_cit
2291,theta,1.03,SR,acute_15,acute_saline
2293,theta,1.56,SR,acute_15,acute_saline
2298,theta,0.91,SIR,acute_15,acute_saline
2299,theta,1.55,SR,acute_15,acute_saline
2301,theta,1.42,SR,acute_15,acute_saline
2305,theta,2.09,SIR,acute_15,acute_saline
2309,theta,2.23,SR,acute_15,acute_saline
2328,theta,1.18,FF,acute_15,acute_saline
2334,theta,1.58,SR,acute_15,acute_saline
2337,theta,1.12,SR,acute_15,acute_saline
2338,theta,1.45,SR,acute_15,acute_saline
2340,theta,1.31,SR,acute_15,acute_saline
2344,theta,1.28,FF,acute_15,acute_saline
2350,theta,1.15,FF,acute_15,acute_saline
2354,theta,2.15,SR,acute_15,acute_saline
2359,theta,1.33,SR,acute_15,acute_saline
2361,theta,1.57,SR,acute_15,acute_saline
2362,theta,1.69,SIR,acute_15,acute_saline
2412,theta,-2.81,SIR,acute_16,acute_saline
2523,theta,-2.68,SIR,acute_12,acute_saline
2609,theta,0.67,SIR,acute_11,acute_saline
