A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
2Shock,3Post,0.28,-0.55,0.83,0.05,15.51,0.0,0.9,1928,-0.83,0.0,True,hamilton_36,SR
2Shock,3Post,0.28,-0.44,0.73,0.05,13.25,0.0,0.76,1929,-0.73,0.0,True,hamilton_36,SR
2Shock,3Post,0.49,-0.55,1.04,0.05,20.01,0.0,1.15,1930,-1.04,0.0,True,hamilton_36,SR
2Shock,3Post,0.46,-0.66,1.12,0.05,22.02,0.0,1.27,1931,-1.12,0.0,True,hamilton_36,SR
2Shock,3Post,0.28,-0.25,0.52,0.06,9.22,0.0,0.53,1934,-0.52,0.0,True,hamilton_36,SR
2Shock,3Post,-0.42,-0.61,0.19,0.04,4.74,0.0,0.27,1938,-0.19,0.0,True,hamilton_36,SR
2Shock,3Post,0.32,-0.86,1.18,0.05,25.93,0.0,1.5,1940,-1.18,0.0,True,hamilton_36,FF
2Shock,3Post,-0.02,-0.3,0.29,0.06,5.11,0.0,0.29,1942,-0.29,0.0,True,hamilton_36,SIR
2Shock,3Post,-0.34,-0.5,0.17,0.05,3.55,0.0,0.21,1945,-0.17,0.0,True,hamilton_36,SR
2Shock,3Post,-0.19,-0.29,0.1,0.05,1.82,0.16,0.1,1946,-0.1,0.18,False,hamilton_36,FF
2Shock,3Post,-0.1,-0.14,0.05,0.06,0.8,0.7,0.05,1947,-0.05,0.74,False,hamilton_36,SR
2Shock,3Post,-0.35,-0.54,0.19,0.04,4.22,0.0,0.24,1949,-0.19,0.0,True,hamilton_36,SIR
2Shock,3Post,-0.39,-0.44,0.06,0.05,1.18,0.47,0.07,1950,-0.06,0.5,False,hamilton_36,SIR
2Shock,3Post,0.07,-0.75,0.82,0.05,17.56,0.0,1.01,1951,-0.82,0.0,True,hamilton_36,SR
2Shock,3Post,-0.01,-0.59,0.58,0.05,11.5,0.0,0.66,1952,-0.58,0.0,True,hamilton_36,SIR
2Shock,3Post,0.19,-0.35,0.54,0.06,9.66,0.0,0.56,1956,-0.54,0.0,True,hamilton_36,SIR
2Shock,3Post,-0.41,-0.64,0.23,0.04,6.12,0.0,0.35,1959,-0.23,0.0,True,hamilton_36,FF
2Shock,3Post,0.32,-0.22,0.54,0.06,9.61,0.0,0.55,1960,-0.54,0.0,True,hamilton_36,SR
2Shock,3Post,0.06,-0.17,0.23,0.06,4.03,0.0,0.23,1961,-0.23,0.0,True,hamilton_32,SR
