neuron_id,UMAP-1,UMAP-2
2354,-0.50361866,3.600659
2359,3.2620962,5.082457
2360,5.4546347,2.184251
2361,-0.05548182,2.4471211
2362,0.5484925,2.2300332
2406,3.432683,0.087681256
2407,6.6583858,3.024711
2408,-1.0617261,0.9131781
2410,-2.0867832,1.8425031
2411,-1.3456557,2.3757572
2413,7.061635,2.792011
2414,2.8357456,6.041589
2415,7.155842,2.592552
2418,-1.1370496,1.7223244
2420,3.0929108,1.0457622
2424,4.30958,0.9234443
2428,1.6799514,1.4853008
2429,-0.5320103,1.1476563
2431,-0.503559,1.6768647
2434,6.075441,1.798848
2435,8.489667,3.0482862
2436,3.6507738,0.64494514
2437,1.6674074,4.7159395
2440,8.301906,2.9997785
2445,3.3308969,5.4842257
2450,4.7762814,1.7901254
2451,5.505864,2.7844439
2452,2.478081,2.0300124
2453,1.6387066,2.6459327
2454,6.168244,2.0406537
2455,6.4790993,2.7982626
2457,6.3410096,2.0812278
2458,8.577261,3.1520972
2459,1.4504758,4.752775
2460,2.2102349,4.7254004
2461,3.0873673,6.463272
2463,2.58673,4.804115
2464,2.86217,3.5279222
2465,0.46418276,4.212188
2469,1.0961438,1.9335349
2472,-1.1155343,1.9350824
2475,5.1990037,2.258699
2476,2.9548314,6.3434696
2478,1.7171227,2.6431444
2480,7.91596,2.8907654
2481,-0.3495606,3.721924
2482,1.5007061,4.232551
2485,2.8682094,3.8086681
2487,-0.3882415,3.5222788
2493,-0.90985835,2.886764
2494,-0.052404102,3.7174761
2503,0.5791706,2.5982406
2524,3.3692434,5.666838
2525,-1.05971,0.7467015
2526,3.4222465,5.784053
2527,2.1921563,4.8941936
2528,3.3740137,4.6877007
2529,-0.762068,0.34943375
2531,4.0537577,5.528789
2533,3.1674457,6.512992
2542,2.3880968,1.2378999
2544,1.4735792,1.4552996
2548,-2.0358617,1.8462762
2551,-2.1515698,2.1899226
2555,0.12122181,0.15183549
2558,0.8918297,3.658901
2559,5.6269546,2.4717443
2560,0.44057283,3.5666683
2562,-1.2079298,1.0260117
2563,-0.88664144,2.0711873
2564,3.3435652,0.075827524
2566,-0.97260463,1.9782494
2567,-2.1165605,2.510678
2569,-0.65173477,2.2096977
2570,1.4805955,-0.040035725
2571,0.08594435,3.1136973
2573,-0.9756586,0.5943742
2574,3.152637,2.551849
2575,0.11632742,2.6607754
2577,2.7429664,0.3468512
2578,3.1230395,2.3670547
2585,6.2232327,2.0380137
2586,8.975479,3.2139156
2587,4.2090354,1.9144688
2588,2.497712,2.4628403
2589,3.158158,2.4569857
2590,3.9595904,5.3638134
2593,-0.9840404,2.992727
2594,7.7555847,2.9648666
2595,8.095307,3.1014128
2596,8.51299,2.9211144
2598,5.3480744,2.0417159
2601,0.291708,0.77533865
2603,0.95775676,1.7407666
2604,2.9016187,0.8872747
2605,3.1971982,0.6315802
2606,3.101083,1.6068028
2607,4.3345737,5.1570287
2608,2.8184972,3.1283994
2609,5.106672,1.5568508
2610,2.4821153,0.80399644
2611,5.3159213,1.5295116
2613,1.2830551,1.3816869
2616,8.66677,3.0926948
2623,2.8109403,0.40373
2624,2.1257925,1.2972084
2626,5.4266496,2.1670113
2628,6.243088,1.5723492
2629,9.006842,3.2628665
2634,4.98636,1.6449898
