neuron_id,width_min,width_basepost,prom_min,prom_basepre,prom_basepost,has_basepre,basepost_width,min_init,basepre_init,min_term,basepost_term,width_all,width_premin,width_minpost,init,term,width_overall
88,19.923114589941008,63.0318026850492,0.8698822826644168,0.1516988622736608,0.21065106357045438,True,63.0318026850492,114.21305888593832,102.45176710927609,134.13617347587933,207.48528671458,105.03351960530392,31.68440636660324,73.34911323870068,102.45176710927609,207.48528671458,105.03351960530392
90,23.872906629682575,39.774981199688085,0.7367917173424392,,0.2392593616697346,False,39.774981199688085,102.52423916758872,,126.39714579727129,168.58409352816903,,,42.18694773089774,102.52423916758872,168.58409352816903,66.05985436058032
91,11.965981891526283,43.766985840552564,0.7827485072217839,,0.20221765500034516,False,43.766985840552564,113.96460415125362,,125.93058604277991,171.82886562836754,,,45.89827958558763,113.96460415125362,171.82886562836754,57.864261477113914
92,13.42892130295263,40.13699462202274,0.7609901234989399,,0.24378133416524217,False,40.13699462202274,113.16733565930244,,126.59625696225507,169.33349537613566,,,42.73723841388059,113.16733565930244,169.33349537613566,56.16615971683322
95,18.16808157795947,35.69929700219359,0.7277208185019364,,0.2660213510535323,False,35.69929700219359,107.65998883486225,,125.82807041282172,164.2719594782036,,,38.44388906538188,107.65998883486225,164.2719594782036,56.61197064334135
97,10.494780040398396,17.489928009042956,0.682468067943508,,0.2759982834220368,False,17.489928009042956,113.56579496527922,,124.06057500567762,142.9895006465371,,,18.928925640859475,113.56579496527922,142.9895006465371,29.42370568125787
98,17.668907024118553,74.3794340945534,0.8259927916623655,,0.14131465797710563,False,74.3794340945534,113.30108390530442,,130.96999092942298,217.17842591502986,,,86.20843498560689,113.30108390530442,217.17842591502986,103.87734200972544
100,13.865702288798587,28.402772545954946,0.7080183471399435,,0.26678653359883975,False,28.402772545954946,112.2393842442157,,126.10508653301429,156.69271929625202,,,30.587632763237735,112.2393842442157,156.69271929625202,44.45333505203632
101,20.487416673920123,54.05888316109184,0.8840340219691629,,0.06577833465472782,False,54.05888316109184,113.79466284181687,,134.282079515737,205.90670298202005,,,71.62462346628305,113.79466284181687,205.90670298202005,92.11204014020318
102,16.8701036727972,64.51977995181483,0.8672184283774704,0.10888744481438528,0.18535592647847243,True,64.51977995181483,114.92041790210556,106.96227084899601,131.79052157490275,201.38470111538103,94.42243026638502,24.82825072590674,69.59417954047828,106.96227084899601,201.38470111538103,94.42243026638502
103,14.991941854131028,66.73770552493497,0.8020054656784195,0.18567455276005274,0.19715454347427186,True,66.73770552493497,114.2517760761315,96.79784952982072,129.24371793026253,201.48966866091615,104.69181913109543,32.44586840044181,72.24595073065362,96.79784952982072,201.48966866091615,104.69181913109543
104,14.336669642318427,75.00397365117652,0.8558805820017077,,0.12959358414046873,False,75.00397365117652,115.17407569036747,,129.5107453326859,208.93708767214554,,,79.42634233945964,115.17407569036747,208.93708767214554,93.76301198177806
