Source,ddof1,ddof2,F,p-unc,np2,neuron_id,p_adj,session_name,neuron_type
block,2,1796,87.88,0.0,0.09,1795,0.0,hamilton_37,SR
block,2,1796,1735.02,0.0,0.66,1800,0.0,hamilton_37,SIR
block,2,1796,164.18,0.0,0.15,1810,0.0,hamilton_37,SIR
block,2,1796,23.5,0.0,0.03,1811,0.0,hamilton_37,SR
block,2,1796,425.73,0.0,0.32,1812,0.0,hamilton_37,SR
block,2,1796,139.1,0.0,0.13,1813,0.0,hamilton_37,SR
block,2,1796,409.96,0.0,0.31,1814,0.0,hamilton_37,SR
block,2,1796,492.15,0.0,0.35,1815,0.0,hamilton_37,SR
block,2,1796,268.57,0.0,0.23,1816,0.0,hamilton_37,SR
block,2,1796,50.01,0.0,0.05,1817,0.0,hamilton_37,SR
block,2,1796,849.46,0.0,0.49,1818,0.0,hamilton_37,SIR
block,2,1796,546.13,0.0,0.38,1819,0.0,hamilton_37,SIR
block,2,1796,401.51,0.0,0.31,1820,0.0,hamilton_37,SR
block,2,1796,112.62,0.0,0.11,1821,0.0,hamilton_37,SIR
block,2,1796,523.08,0.0,0.37,1822,0.0,hamilton_37,SR
block,2,1796,1183.15,0.0,0.57,1823,0.0,hamilton_37,SR
block,2,1796,840.12,0.0,0.48,1824,0.0,hamilton_37,SR
block,2,1796,2438.75,0.0,0.73,1825,0.0,hamilton_37,SR
block,2,1796,1410.93,0.0,0.61,1826,0.0,hamilton_37,SR
block,2,1796,154.75,0.0,0.15,1827,0.0,hamilton_37,SIR
block,2,1796,135.35,0.0,0.13,1828,0.0,hamilton_37,SIR
block,2,1796,145.63,0.0,0.14,1829,0.0,hamilton_37,SIR
block,2,1796,119.79,0.0,0.12,1830,0.0,hamilton_37,SIR
block,2,1796,208.48,0.0,0.19,1831,0.0,hamilton_37,SR
block,2,1796,721.11,0.0,0.45,1832,0.0,hamilton_37,SR
block,2,1796,210.15,0.0,0.19,1833,0.0,hamilton_37,SIR
block,2,1796,149.41,0.0,0.14,1834,0.0,hamilton_37,SIR
block,2,1796,2099.53,0.0,0.7,1835,0.0,hamilton_37,FF
block,2,1796,119.47,0.0,0.12,1836,0.0,hamilton_37,SIR
block,2,1796,206.74,0.0,0.19,1837,0.0,hamilton_37,SIR
block,2,1796,171.35,0.0,0.16,1839,0.0,hamilton_35,FF
block,2,1796,326.01,0.0,0.27,1841,0.0,hamilton_35,SR
block,2,1796,2586.33,0.0,0.74,1842,0.0,hamilton_35,SIR
block,2,1796,173.92,0.0,0.16,1843,0.0,hamilton_35,FF
block,2,1796,957.42,0.0,0.52,1844,0.0,hamilton_35,FF
block,2,1796,263.69,0.0,0.23,1846,0.0,hamilton_35,SR
block,2,1796,146.71,0.0,0.14,1847,0.0,hamilton_35,SR
block,2,1796,3752.98,0.0,0.81,1848,0.0,hamilton_35,SR
block,2,1796,1530.19,0.0,0.63,1850,0.0,hamilton_35,SR
block,2,1796,825.57,0.0,0.48,1854,0.0,hamilton_35,SR
block,2,1796,1073.38,0.0,0.54,1856,0.0,hamilton_35,SR
block,2,1796,88.42,0.0,0.09,1857,0.0,hamilton_35,SIR
block,2,1796,534.38,0.0,0.37,1858,0.0,hamilton_35,FF
block,2,1796,245.98,0.0,0.22,1860,0.0,hamilton_35,SR
block,2,1796,968.62,0.0,0.52,1861,0.0,hamilton_35,SR
block,2,1796,2585.14,0.0,0.74,1864,0.0,hamilton_35,SIR
block,2,1796,696.84,0.0,0.44,1865,0.0,hamilton_35,SR
block,2,1796,4116.98,0.0,0.82,1866,0.0,hamilton_35,SR
block,2,1796,445.41,0.0,0.33,1867,0.0,hamilton_35,SR
block,2,1796,153.73,0.0,0.15,1868,0.0,hamilton_35,SIR
block,2,1796,437.74,0.0,0.33,1869,0.0,hamilton_35,SR
block,2,1796,267.93,0.0,0.23,1871,0.0,hamilton_35,SR
block,2,1796,230.18,0.0,0.2,1872,0.0,hamilton_35,SR
block,2,1796,65.21,0.0,0.07,1873,0.0,hamilton_35,SIR
block,2,1796,583.67,0.0,0.39,1874,0.0,hamilton_35,SIR
block,2,1796,360.25,0.0,0.29,1875,0.0,hamilton_35,SR
block,2,1796,321.49,0.0,0.26,1878,0.0,hamilton_35,FF
block,2,1796,1424.95,0.0,0.61,1879,0.0,hamilton_35,SIR
block,2,1796,1349.38,0.0,0.6,1881,0.0,hamilton_35,SR
block,2,1796,209.25,0.0,0.19,1882,0.0,hamilton_35,SR
block,2,1796,652.43,0.0,0.42,1883,0.0,hamilton_35,FF
block,2,1796,76.42,0.0,0.08,1884,0.0,hamilton_35,SR
block,2,1796,238.85,0.0,0.21,1885,0.0,hamilton_35,FF
block,2,1796,444.41,0.0,0.33,1887,0.0,hamilton_35,SIR
block,2,1796,325.0,0.0,0.27,1888,0.0,hamilton_35,SIR
block,2,1796,725.68,0.0,0.45,1889,0.0,hamilton_35,SIR
block,2,1796,268.09,0.0,0.23,1890,0.0,hamilton_35,FF
block,2,1796,40.2,0.0,0.04,1893,0.0,hamilton_35,SR
block,2,1796,2372.63,0.0,0.73,1894,0.0,hamilton_35,SIR
block,2,1796,4278.03,0.0,0.83,1895,0.0,hamilton_35,SIR
block,2,1796,846.77,0.0,0.49,1896,0.0,hamilton_35,FF
block,2,1796,5.5,0.0,0.01,1897,0.0,hamilton_35,FF
block,2,1796,1402.05,0.0,0.61,1899,0.0,hamilton_35,SIR
block,2,1796,406.01,0.0,0.31,1900,0.0,hamilton_35,SIR
block,2,1796,102.83,0.0,0.1,1902,0.0,hamilton_35,SR
block,2,1796,1362.45,0.0,0.6,1903,0.0,hamilton_35,SR
block,2,1796,459.01,0.0,0.34,1904,0.0,hamilton_35,SIR
block,2,1796,1141.19,0.0,0.56,1906,0.0,hamilton_35,SR
block,2,1796,130.61,0.0,0.13,1908,0.0,hamilton_35,SR
block,2,1796,712.11,0.0,0.44,1909,0.0,hamilton_35,SIR
block,2,1796,334.95,0.0,0.27,1910,0.0,hamilton_35,SR
block,2,1796,191.23,0.0,0.18,1911,0.0,hamilton_36,SR
block,2,1796,554.91,0.0,0.38,1914,0.0,hamilton_36,SR
block,2,1796,166.76,0.0,0.16,1917,0.0,hamilton_36,SR
block,2,1796,424.59,0.0,0.32,1919,0.0,hamilton_36,SR
block,2,1796,341.87,0.0,0.28,1921,0.0,hamilton_36,SIR
block,2,1796,243.85,0.0,0.21,1924,0.0,hamilton_36,SR
block,2,1796,157.42,0.0,0.15,1928,0.0,hamilton_36,SR
block,2,1796,99.98,0.0,0.1,1929,0.0,hamilton_36,SR
block,2,1796,202.16,0.0,0.18,1930,0.0,hamilton_36,SR
block,2,1796,266.48,0.0,0.23,1931,0.0,hamilton_36,SR
block,2,1796,42.99,0.0,0.05,1934,0.0,hamilton_36,SR
block,2,1796,1041.94,0.0,0.54,1938,0.0,hamilton_36,SR
block,2,1796,549.74,0.0,0.38,1940,0.0,hamilton_36,FF
block,2,1796,60.83,0.0,0.06,1942,0.0,hamilton_36,SIR
block,2,1796,490.26,0.0,0.35,1945,0.0,hamilton_36,SR
block,2,1796,119.46,0.0,0.12,1946,0.0,hamilton_36,FF
block,2,1796,27.14,0.0,0.03,1947,0.0,hamilton_36,SR
block,2,1796,586.81,0.0,0.4,1949,0.0,hamilton_36,SIR
block,2,1796,468.51,0.0,0.34,1950,0.0,hamilton_36,SIR
block,2,1796,474.21,0.0,0.35,1951,0.0,hamilton_36,SR
block,2,1796,272.88,0.0,0.23,1952,0.0,hamilton_36,SIR
block,2,1796,58.29,0.0,0.06,1956,0.0,hamilton_36,SIR
block,2,1796,1163.71,0.0,0.56,1959,0.0,hamilton_36,FF
block,2,1796,50.75,0.0,0.05,1960,0.0,hamilton_36,SR
block,2,1796,13.84,0.0,0.02,1961,0.0,hamilton_32,SR
block,2,1796,206.85,0.0,0.19,1962,0.0,hamilton_32,SR
block,2,1796,122.32,0.0,0.12,1963,0.0,hamilton_32,SIR
block,2,1796,226.81,0.0,0.2,1966,0.0,hamilton_32,SR
block,2,1796,7.2,0.0,0.01,1968,0.0,hamilton_32,SR
block,2,1796,74.04,0.0,0.08,1969,0.0,hamilton_32,SR
block,2,1796,46.63,0.0,0.05,1970,0.0,hamilton_32,SIR
block,2,1796,62.31,0.0,0.06,1973,0.0,hamilton_32,SIR
block,2,1796,511.76,0.0,0.36,1974,0.0,hamilton_32,FF
block,2,1796,4.49,0.01,0.0,1975,0.01,hamilton_32,SR
block,2,1796,1218.89,0.0,0.58,1978,0.0,hamilton_32,SR
block,2,1796,521.34,0.0,0.37,1980,0.0,hamilton_32,SR
block,2,1796,1304.18,0.0,0.59,1982,0.0,hamilton_32,SR
block,2,1796,512.91,0.0,0.36,1983,0.0,hamilton_32,SIR
block,2,1796,960.57,0.0,0.52,1984,0.0,hamilton_32,SR
block,2,1796,0.21,0.81,0.0,1985,0.81,hamilton_32,SR
block,2,1796,17.55,0.0,0.02,1987,0.0,hamilton_32,SIR
block,2,1796,446.29,0.0,0.33,1988,0.0,hamilton_32,SIR
block,2,1796,62.6,0.0,0.07,1989,0.0,hamilton_32,SIR
block,2,1796,796.83,0.0,0.47,1990,0.0,hamilton_32,SR
block,2,1796,109.24,0.0,0.11,1991,0.0,hamilton_32,SIR
block,2,1796,640.1,0.0,0.42,1992,0.0,hamilton_32,SR
block,2,1796,23.82,0.0,0.03,1993,0.0,hamilton_32,SR
block,2,1796,58.47,0.0,0.06,1995,0.0,hamilton_32,SR
block,2,1796,541.94,0.0,0.38,1997,0.0,hamilton_32,SR
block,2,1796,719.11,0.0,0.44,1998,0.0,hamilton_32,SR
block,2,1796,247.5,0.0,0.22,1999,0.0,hamilton_32,SR
block,2,1796,15.52,0.0,0.02,2000,0.0,hamilton_32,SIR
block,2,1796,79.54,0.0,0.08,2001,0.0,hamilton_32,SIR
block,2,1796,306.1,0.0,0.25,2002,0.0,hamilton_32,FF
block,2,1796,303.65,0.0,0.25,2003,0.0,hamilton_32,SR
