A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,2Shock,-0.25,0.75,-1.0,0.05,-20.53,0.0,-1.18,1641,1.0,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.25,0.08,0.17,0.06,3.02,0.01,0.17,1642,-0.17,0.01,True,hamilton_31,SIR
1Pre,2Shock,-0.11,0.52,-0.63,0.05,-11.8,0.0,-0.68,1644,0.63,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.2,0.37,-0.17,0.05,-3.23,0.0,-0.19,1645,0.17,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.35,0.84,-1.19,0.05,-25.68,0.0,-1.48,1647,1.19,0.0,True,hamilton_31,SR
1Pre,2Shock,0.03,-0.16,0.19,0.06,3.25,0.0,0.19,1648,-0.19,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.46,-0.05,0.51,0.05,9.52,0.0,0.55,1649,-0.51,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.0,0.45,-0.45,0.05,-8.36,0.0,-0.48,1650,0.45,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.21,-0.51,0.73,0.05,13.51,0.0,0.78,1651,-0.73,0.0,True,hamilton_31,SR
1Pre,2Shock,-0.26,0.77,-1.04,0.05,-21.53,0.0,-1.24,1655,1.04,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.51,0.17,0.34,0.05,6.74,0.0,0.39,1657,-0.34,0.0,True,hamilton_31,SR
1Pre,2Shock,0.39,0.17,0.22,0.05,4.13,0.0,0.24,1658,-0.22,0.0,True,hamilton_31,SR
1Pre,2Shock,-0.31,0.64,-0.95,0.05,-18.47,0.0,-1.07,1659,0.95,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.69,-1.02,1.71,0.04,43.44,0.0,2.51,1660,-1.71,0.0,True,hamilton_31,FF
1Pre,2Shock,0.11,-0.33,0.44,0.06,7.8,0.0,0.45,1661,-0.44,0.0,True,hamilton_31,SR
1Pre,2Shock,-0.5,1.07,-1.57,0.04,-41.52,0.0,-2.4,1663,1.57,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.15,0.18,-0.33,0.06,-5.84,0.0,-0.34,1664,0.33,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.52,-0.26,0.78,0.05,14.45,0.0,0.83,1666,-0.78,0.0,True,hamilton_31,SR
1Pre,2Shock,-0.16,0.43,-0.59,0.05,-10.83,0.0,-0.62,1667,0.59,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.73,-0.38,1.1,0.05,22.28,0.0,1.29,1668,-1.1,0.0,True,hamilton_31,SR
