A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,2Shock,0.06,0.49,-0.43,0.05,-8.26,0.0,-0.48,1930,0.43,0.0,True,hamilton_36,SR
1Pre,2Shock,0.2,0.46,-0.25,0.05,-5.01,0.0,-0.29,1931,0.25,0.0,True,hamilton_36,SR
1Pre,2Shock,-0.03,0.28,-0.31,0.06,-5.44,0.0,-0.31,1934,0.31,0.0,True,hamilton_36,SR
1Pre,2Shock,1.03,-0.42,1.45,0.04,36.95,0.0,2.13,1938,-1.45,0.0,True,hamilton_36,SR
1Pre,2Shock,0.54,0.32,0.23,0.05,4.94,0.0,0.29,1940,-0.23,0.0,True,hamilton_36,FF
1Pre,2Shock,0.32,-0.02,0.33,0.06,5.91,0.0,0.34,1942,-0.33,0.0,True,hamilton_36,SIR
1Pre,2Shock,0.83,-0.34,1.17,0.05,25.17,0.0,1.45,1945,-1.17,0.0,True,hamilton_36,SR
1Pre,2Shock,0.48,-0.19,0.67,0.05,12.39,0.0,0.71,1946,-0.67,0.0,True,hamilton_36,FF
1Pre,2Shock,0.24,-0.1,0.34,0.06,5.94,0.0,0.34,1947,-0.34,0.0,True,hamilton_36,SR
1Pre,2Shock,0.88,-0.35,1.23,0.04,27.33,0.0,1.58,1949,-1.23,0.0,True,hamilton_36,SIR
1Pre,2Shock,0.83,-0.39,1.21,0.05,25.91,0.0,1.49,1950,-1.21,0.0,True,hamilton_36,SIR
1Pre,2Shock,0.68,0.07,0.61,0.05,13.14,0.0,0.76,1951,-0.61,0.0,True,hamilton_36,SR
1Pre,2Shock,0.59,-0.01,0.6,0.05,11.87,0.0,0.68,1952,-0.6,0.0,True,hamilton_36,SIR
1Pre,2Shock,0.16,0.19,-0.04,0.06,-0.64,0.8,-0.04,1956,0.04,0.81,False,hamilton_36,SIR
1Pre,2Shock,1.05,-0.41,1.46,0.04,38.39,0.0,2.22,1959,-1.46,0.0,True,hamilton_36,FF
1Pre,2Shock,-0.1,0.32,-0.42,0.06,-7.41,0.0,-0.43,1960,0.42,0.0,True,hamilton_36,SR
1Pre,2Shock,0.11,0.06,0.05,0.06,0.91,0.63,0.05,1961,-0.05,0.65,False,hamilton_32,SR
1Pre,2Shock,0.53,-0.53,1.06,0.05,20.34,0.0,1.17,1962,-1.06,0.0,True,hamilton_32,SR
1Pre,2Shock,0.48,-0.16,0.64,0.05,11.76,0.0,0.68,1963,-0.64,0.0,True,hamilton_32,SIR
1Pre,2Shock,-0.31,-0.32,0.01,0.05,0.19,0.98,0.01,1966,-0.01,0.98,False,hamilton_32,SR
1Pre,2Shock,-0.08,0.12,-0.21,0.06,-3.57,0.0,-0.21,1968,0.21,0.0,True,hamilton_32,SR
1Pre,2Shock,0.16,0.23,-0.07,0.06,-1.24,0.43,-0.07,1969,0.07,0.45,False,hamilton_32,SR
1Pre,2Shock,0.3,-0.08,0.38,0.06,6.81,0.0,0.39,1970,-0.38,0.0,True,hamilton_32,SIR
1Pre,2Shock,0.35,-0.1,0.45,0.06,8.01,0.0,0.46,1973,-0.45,0.0,True,hamilton_32,SIR
1Pre,2Shock,-0.01,-0.73,0.72,0.05,15.65,0.0,0.9,1974,-0.72,0.0,True,hamilton_32,FF
1Pre,2Shock,-0.09,0.07,-0.17,0.06,-2.94,0.01,-0.17,1975,0.17,0.01,True,hamilton_32,SR
1Pre,2Shock,-0.11,0.98,-1.09,0.04,-28.99,0.0,-1.67,1978,1.09,0.0,True,hamilton_32,SR
1Pre,2Shock,0.15,0.65,-0.5,0.05,-10.87,0.0,-0.63,1980,0.5,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.3,1.06,-1.36,0.04,-36.73,0.0,-2.12,1982,1.36,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.23,0.83,-1.05,0.05,-22.86,0.0,-1.32,1983,1.05,0.0,True,hamilton_32,SIR
1Pre,2Shock,0.0,0.88,-0.87,0.04,-21.76,0.0,-1.26,1984,0.87,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.01,0.02,-0.03,0.06,-0.52,0.86,-0.03,1985,0.03,0.88,False,hamilton_32,SR
1Pre,2Shock,0.13,0.06,0.08,0.06,1.34,0.37,0.08,1987,-0.08,0.39,False,hamilton_32,SIR
1Pre,2Shock,-0.68,0.73,-1.41,0.05,-29.84,0.0,-1.72,1988,1.41,0.0,True,hamilton_32,SIR
1Pre,2Shock,0.11,0.24,-0.13,0.06,-2.4,0.04,-0.14,1989,0.13,0.05,True,hamilton_32,SIR
1Pre,2Shock,-0.49,0.97,-1.46,0.04,-34.61,0.0,-2.0,1990,1.46,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.15,-0.31,0.16,0.05,2.94,0.01,0.17,1991,-0.16,0.01,True,hamilton_32,SIR
1Pre,2Shock,0.12,0.72,-0.6,0.04,-13.59,0.0,-0.78,1992,0.6,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.15,0.22,-0.37,0.06,-6.52,0.0,-0.38,1993,0.37,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.33,0.07,-0.41,0.06,-7.28,0.0,-0.42,1995,0.41,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.32,0.86,-1.18,0.05,-25.78,0.0,-1.49,1997,1.18,0.0,True,hamilton_32,SR
1Pre,2Shock,0.94,-0.5,1.44,0.04,33.52,0.0,1.93,1998,-1.44,0.0,True,hamilton_32,SR
1Pre,2Shock,0.08,0.52,-0.44,0.05,-8.6,0.0,-0.5,1999,0.44,0.0,True,hamilton_32,SR
1Pre,2Shock,-0.17,0.15,-0.32,0.06,-5.54,0.0,-0.32,2000,0.32,0.0,True,hamilton_32,SIR
1Pre,2Shock,0.4,-0.17,0.58,0.06,10.38,0.0,0.6,2001,-0.58,0.0,True,hamilton_32,SIR
1Pre,2Shock,-0.67,0.13,-0.8,0.05,-16.05,0.0,-0.93,2002,0.8,0.0,True,hamilton_32,FF
1Pre,2Shock,-0.71,0.37,-1.08,0.05,-21.71,0.0,-1.25,2003,1.08,0.0,True,hamilton_32,SR
