neuron_id,burst_4,burst_3,no_wf_3,wf_3,wf_4
1623,sir,sir,sir,sir,sir
1625,sir,sir,sir,sir,sir
1626,sr_narrow,sir,sir,sir,sr_narrow
1632,sir,sir,sir,sir,sir
1636,sir,sir,sir,sir,sir
1638,sir,sir,sir,sir,sir
1639,sir,sir,sir,sir,sir
1640,sr_narrow,sir,sr,sir,sr_narrow
1641,sir,sir,sir,sir,sir
1642,sir,sir,sir,sir,sir
1644,sir,sir,sir,sir,sir
1645,sir,sir,sir,sir,sir
1647,sr_wide,sr,sr,sr,sr_wide
1648,sir,sir,sir,sir,sir
1649,sir,sir,sir,sir,sir
1650,sir,sir,sir,sir,sir
1651,sir,sir,sr,sir,sr_narrow
1655,sir,sir,sir,sir,sir
1657,sr_narrow,sir,sr,sir,sr_narrow
1658,sr_narrow,sr,sr,sr,sr_narrow
1659,sir,sir,sir,sir,sir
1660,sr_narrow,sr,sr,sr,sr_narrow
1661,sr_wide,sr,sr,sr,sr_narrow
1663,sir,sir,sir,sir,sir
1664,sr_narrow,sir,sr,sir,sr_narrow
1666,sr_narrow,sr,sr,sr,sr_narrow
1667,sir,sir,sir,sir,sir
1668,sr_narrow,sir,sr,sir,sr_narrow
1669,sir,sir,sir,sir,sir
1670,sir,sir,sir,sir,sir
1671,sir,sir,sir,sir,sir
1675,sir,sir,sir,sir,sir
1676,sir,sir,sir,sir,sir
1678,sir,sir,sir,sir,sir
1679,sir,sir,sir,sir,sir
1680,sr_narrow,sir,sr,sir,sr_narrow
1681,sir,sir,sir,sir,sir
1682,sr_wide,sr,sr,sr,sr_narrow
1683,sir,sir,sir,sir,sir
1684,sir,sir,sir,sir,sir
1685,sir,sir,sir,sir,sir
1686,sir,sir,sir,sir,sir
1687,sir,sir,sir,sir,sir
1690,sr_narrow,ff,sr,ff,sr_narrow
1691,sr_narrow,sir,sr,sir,sr_narrow
1693,sr_narrow,sir,sr,sir,sr_narrow
1695,sir,sir,sir,sir,sir
1697,sr_narrow,sir,sr,sir,sr_narrow
1698,sir,sir,sir,sir,sir
1706,sr_narrow,sir,sir,sir,sr_narrow
1709,sir,sir,sir,sir,sir
1712,sr_narrow,sir,sir,sir,sir
1713,sir,sir,sir,sir,sir
1720,sir,sir,sir,sir,sir
1721,sr_narrow,sir,sir,sir,sr_narrow
1725,sr_narrow,sir,sir,sir,sir
1726,sr_narrow,sir,sir,sir,sir
1727,sr_narrow,sir,sr,sir,sr_narrow
1728,sir,sir,sir,sir,sir
1733,sir,sir,sir,sir,sir
1737,sir,sir,sir,sir,sir
1739,sr_wide,sr,sr,sr,sr_wide
1741,sr_narrow,sir,sir,sir,sir
1743,sr_wide,sr,sr,sr,sr_wide
1748,sir,sir,sir,sir,sir
1749,sir,sir,sir,sir,sir
1752,sr_narrow,sir,sir,sir,sr_narrow
1754,sir,sir,sir,sir,sir
1755,sr_wide,sr,sr,sr,sr_narrow
1760,sr_wide,sr,sr,sr,sr_wide
1767,sr_wide,sr,sr,sr,sr_wide
1769,sr_wide,sr,sr,sr,sr_wide
1774,sr_wide,sr,sr,sr,sr_wide
1775,sr_narrow,sir,sir,sir,sr_narrow
1792,sr_narrow,sr,sr,sr,sr_narrow
1795,sr_narrow,sir,sr,sir,sr_narrow
1800,sr_narrow,sir,sr,sir,sr_narrow
1810,sir,sir,sir,sir,sir
1811,sr_wide,sr,sr,sr,sr_wide
1812,sr_wide,sr,sr,sr,sr_wide
1813,sr_wide,sr,sr,sr,sr_wide
1814,sr_wide,sr,sr,sr,sr_wide
1815,sr_wide,sr,sr,sr,sr_wide
1816,sr_wide,sr,sr,sr,sr_wide
1817,sr_wide,sr,sr,sr,sr_wide
1818,sr_narrow,sir,sr,sir,sr_narrow
1819,sir,sir,sir,sir,sir
1820,sr_wide,sr,sr,sr,sr_wide
1821,sir,sir,sir,sir,sir
1822,sr_wide,sr,sr,sr,sr_wide
1823,sr_wide,sr,sr,sr,sr_wide
1824,sr_wide,sr,sr,sr,sr_wide
1825,sr_wide,sr,sr,sr,sr_wide
1826,sir,sir,sir,sir,sir
1827,sir,sir,sir,sir,sir
1828,sir,sir,sir,sir,sir
1829,sir,sir,sir,sir,sir
1832,sr_wide,sr,sr,sr,sr_narrow
1833,sir,sir,sir,sir,sir
1834,sir,sir,sir,sir,sir
1835,sr_narrow,sr,sr,sr,sr_narrow
1836,sir,sir,sir,sir,sir
1837,sir,sir,sir,sir,sir
1839,sr_narrow,ff,sr,sr,sr_narrow
1841,sr_narrow,sr,sr,sr,sr_narrow
1842,sir,sir,sir,sir,sir
1843,sr_wide,sr,sr,sr,sr_wide
1844,sr_narrow,sir,sir,sir,sr_narrow
1846,sr_wide,sr,sr,sr,sr_narrow
1847,sr_narrow,sr,sr,sr,sr_narrow
1850,sr_wide,sr,sr,sr,sr_wide
1854,sr_wide,sr,sr,sr,sr_wide
1856,sr_wide,sr,sr,sr,sr_wide
1857,sir,sir,sir,sir,sir
1858,sr_wide,sr,sr,sr,sr_wide
1860,sr_wide,sr,sr,sr,sr_wide
1861,sr_narrow,sir,sir,sir,sr_narrow
1864,sr_narrow,sir,sir,sir,sr_narrow
1865,sr_wide,sr,sr,sr,sr_wide
1866,sr_narrow,sir,sr,sir,sr_narrow
1867,sr_wide,sr,sr,sr,sr_wide
1868,sir,sir,sir,sir,sir
1869,sr_wide,sr,sr,sr,sr_wide
1871,sr_narrow,sr,sr,sr,sr_wide
1872,sr_wide,sr,sr,sr,sr_wide
1873,sr_narrow,sir,sir,sir,sr_narrow
1874,sir,sir,sir,sir,sir
1875,sr_narrow,sir,sir,sir,sir
1878,sr_narrow,ff,sr,sr,sr_narrow
1879,sir,sir,sir,sir,sir
1881,sr_narrow,sr,sr,sr,sr_narrow
1882,sr_narrow,sir,sir,sir,sr_narrow
1883,sr_wide,sr,sr,sr,sr_narrow
1884,sr_narrow,sir,sir,sir,sr_narrow
1885,sr_narrow,sr,sr,sr,sr_narrow
1887,sir,sir,sir,sir,sir
1889,sir,sir,sir,sir,sir
1890,sr_narrow,ff,sr,sr,sr_narrow
1893,sr_narrow,sir,sr,sir,sr_narrow
1894,sr_narrow,sir,sr,sir,sr_narrow
1895,sr_narrow,sir,sir,sir,sir
1896,sr_narrow,sir,sr,sir,sr_narrow
1897,ff,ff,sr,ff,sr_narrow
1899,sr_narrow,sir,sir,sir,sir
1902,sr_wide,sr,sr,sr,sr_wide
1903,sr_wide,sr,sr,sr,sr_wide
1904,sr_narrow,sir,sir,sir,sr_narrow
1906,sr_wide,sr,sr,sr,sr_wide
1908,ff,ff,ff,ff,ff
1909,sr_narrow,sir,sr,sir,sr_narrow
1910,sr_wide,sr,sr,sr,sr_wide
1911,sir,sir,sir,sir,sir
1914,sr_wide,sr,sr,sr,sr_wide
1917,sr_wide,sr,sr,sr,sr_wide
1919,sr_wide,sr,sr,sr,sr_wide
1921,sir,sir,sir,sir,sir
1924,sr_wide,sr,sr,sr,sr_wide
1928,sr_wide,sr,sr,sr,sr_wide
1929,sr_wide,sr,sr,sr,sr_wide
1930,sr_wide,sr,sr,sr,sr_wide
1931,sr_wide,sr,sr,sr,sr_wide
1934,sr_wide,sr,sr,sr,sr_wide
1938,sr_wide,sr,sr,sr,sr_wide
1940,sr_narrow,ff,sr,ff,sr_narrow
1942,sir,sir,sir,sir,sir
1945,sir,sr,sir,sr,sir
1946,sr_narrow,sir,sr,sir,sr_narrow
1947,sir,sir,sir,sir,sir
1949,sr_narrow,sir,sir,sir,sir
1950,sr_narrow,sir,sr,sir,sr_narrow
1951,sr_narrow,sir,sr,sir,sr_narrow
1952,sr_narrow,sir,sir,sir,sr_narrow
1956,sr_narrow,sir,sir,sir,sr_narrow
1959,sr_narrow,ff,sr,ff,sr_narrow
1960,sr_narrow,sr,sr,sr,sr_wide
1961,sir,sir,sir,sir,sir
1962,sr_wide,sr,sr,sr,sr_wide
1963,sir,sir,sir,sir,sir
1966,sr_wide,sr,sr,sr,sr_narrow
1968,sr_narrow,sr,sr,sr,sr_narrow
1969,sir,sir,sir,sir,sir
1970,sir,sir,sir,sir,sir
1973,sir,sir,sir,sir,sir
1974,sr_narrow,sr,sr,sr,sr_narrow
1978,sr_wide,sr,sr,sr,sr_wide
1980,sr_wide,sr,sr,sr,sr_wide
1982,sr_wide,sr,sr,sr,sr_narrow
1983,sr_narrow,sir,sr,sir,sr_narrow
1984,sr_wide,sr,sr,sr,sr_wide
1985,sir,sir,sir,sir,sir
1987,sr_narrow,sir,sr,sir,sr_narrow
1988,sir,sir,sir,sir,sir
1989,sir,sir,sir,sir,sir
1991,sir,sir,sir,sir,sir
1992,sr_wide,sr,sr,sr,sr_wide
1995,sr_wide,sr,sir,sr,sr_wide
1997,sr_narrow,sr,sr,sr,sr_wide
1998,sr_narrow,sr,sr,sr,sr_wide
1999,sr_wide,sr,sr,sr,sr_wide
2000,sir,sir,sir,sir,sir
2001,sir,sir,sir,sir,sir
2002,ff,ff,ff,ff,ff
2003,sr_wide,sr,sr,sr,sr_wide
2291,sr_wide,sr,sr,sr,sr_wide
2293,sr_narrow,sir,sr,sir,sr_narrow
2296,sir,sir,sir,sir,sir
2298,sir,sir,sir,sir,sir
2299,sr_wide,sr,sr,sr,sr_wide
2301,sr_narrow,sr,sr,sr,sr_narrow
2304,sr_narrow,sir,sr,sir,sr_narrow
2305,sr_narrow,sir,sr,sir,sr_narrow
2306,ff,ff,ff,ff,ff
2309,sr_wide,sr,sr,sr,sr_wide
2316,sr_narrow,sir,sr,sir,sr_narrow
2324,sr_wide,sr,sr,sr,sr_wide
2328,ff,ff,ff,ff,ff
2329,sr_narrow,ff,sr,ff,sr_narrow
2334,sr_wide,sr,sr,sr,sr_narrow
2335,sr_narrow,ff,sr,sir,sr_narrow
2337,sr_wide,sr,sr,sr,sr_wide
2338,sr_wide,sr,sr,sr,sr_wide
2339,sr_narrow,sir,sr,sir,sr_narrow
2340,sr_wide,sr,sr,sr,sr_wide
2344,sr_narrow,ff,sr,ff,sr_narrow
2347,sr_narrow,sir,sr,sir,sr_narrow
2348,sr_narrow,sir,sr,sir,sr_narrow
2350,ff,ff,ff,ff,ff
2352,sr_narrow,ff,sr,ff,sr_narrow
2353,sr_narrow,ff,sr,ff,sr_narrow
2354,sr_wide,sr,sr,sr,sr_wide
2359,sr_wide,sr,sr,sr,sr_wide
2360,sir,sir,sir,sir,sir
2361,sr_wide,sr,sir,sr,sr_wide
2362,sr_wide,sr,sr,sr,sr_wide
2406,sr_wide,sr,sr,sr,sr_narrow
2407,sir,sir,sir,sir,sir
2408,ff,ff,ff,ff,sr_narrow
2410,sr_wide,sr,sr,sr,sr_wide
2411,sr_wide,sr,sr,sr,sr_wide
2412,sir,sir,sir,sir,sir
2413,sr_narrow,sir,sir,sir,sr_narrow
2414,sr_wide,sr,sir,sr,sr_wide
2415,ff,ff,ff,ff,ff
2418,sr_wide,sr,sr,sr,sr_wide
2420,ff,ff,sr,sr,sr_wide
2422,ff,ff,ff,ff,sr_narrow
2424,ff,ff,ff,ff,ff
2425,sir,sir,sir,sir,sir
2428,sr_narrow,sir,sr,sir,sr_narrow
2429,sr_wide,sr,sr,sr,sr_wide
2431,sr_wide,sr,sr,sr,sr_narrow
2434,ff,ff,ff,ff,sr_narrow
2435,sir,sir,sir,sir,sir
2436,sr_narrow,sir,sr,sir,sr_narrow
2437,sir,sir,sir,sir,sir
2440,ff,ff,sr,ff,sr_narrow
2445,sr_wide,sr,sr,sr,sr_wide
2447,ff,ff,ff,ff,sr_narrow
2448,sr_narrow,sir,sir,sir,sir
2450,sr_wide,sr,sr,sr,sr_wide
2451,sir,sir,sir,sir,sir
2452,sr_narrow,sr,sr,sr,sr_wide
2453,sr_wide,sr,sr,sr,sr_wide
2454,ff,ff,ff,ff,ff
2455,ff,ff,ff,ff,sr_narrow
2457,sr_narrow,sir,sir,sir,sir
2458,sr_narrow,sir,sr,sir,sr_narrow
2459,sr_wide,sr,sr,sr,sr_wide
2460,sir,sir,sir,sir,sir
2461,sr_wide,sr,sir,sr,sr_wide
2463,sr_wide,sr,sr,sr,sr_wide
2464,sr_narrow,sr,sr,sr,sr_narrow
2465,sir,sir,sir,sir,sir
2469,sir,sir,sir,sir,sir
2472,sr_wide,sr,sir,sr,sr_wide
2475,ff,ff,ff,ff,sr_narrow
2476,ff,ff,ff,ff,ff
2478,sr_wide,sr,sr,sr,sr_wide
2480,sr_narrow,sir,sr,sir,sr_narrow
2481,sr_wide,sr,sr,sr,sr_wide
2482,ff,ff,ff,ff,ff
2485,ff,ff,ff,ff,ff
2487,sr_wide,sr,sr,sr,sr_wide
2489,sr_wide,sr,sr,sr,sr_wide
2493,sr_wide,sr,sr,sr,sr_wide
2494,sir,sr,sir,sr,sir
2496,sir,sir,sir,sir,sir
2503,sir,sir,sir,sir,sir
2522,sir,sir,sir,sir,sir
2523,sir,sir,sir,sir,sir
2524,sr_wide,sr,sr,sr,sr_wide
2525,sr_wide,sr,sr,sr,sr_wide
2526,sr_wide,sr,sr,sr,sr_wide
2527,sr_wide,sr,sr,sr,sr_wide
2528,sir,sir,sir,sir,sir
2529,sir,sir,sir,sir,sir
2531,sr_wide,sr,sr,sr,sr_wide
2533,sr_wide,sr,sr,sr,sr_wide
2542,sr_narrow,sir,sr,sir,sr_narrow
2544,sir,sir,sir,sir,sir
2548,sr_wide,sr,sr,sr,sr_wide
2551,sr_wide,sr,sr,sr,sr_wide
2555,sr_wide,sr,sr,sr,sr_wide
2558,sr_wide,sr,sr,sr,sr_wide
2559,sr_narrow,sir,sr,sir,sr_narrow
2560,sr_wide,sr,sr,sr,sr_narrow
2562,sr_wide,sr,sr,sr,sr_wide
2563,sr_wide,sr,sr,sr,sr_wide
2564,sr_narrow,sr,sr,sr,sr_narrow
2566,sir,sir,sir,sir,sir
2567,sr_wide,sr,sr,sr,sr_narrow
2568,sir,sir,sir,sir,sir
2569,sir,sir,sir,sir,sir
2570,sir,sir,sir,sir,sir
2571,sr_wide,sr,sr,sr,sr_wide
2573,sr_wide,sr,sr,sr,sr_wide
2574,ff,ff,ff,ff,ff
2575,sr_wide,sr,sr,sr,sr_wide
2577,sr_wide,sr,sr,sr,sr_wide
2578,sr_narrow,ff,sr,ff,sr_narrow
2585,sir,sir,sir,sir,sir
2586,sr_narrow,sir,sir,sir,sir
2587,sir,sir,sir,sir,sir
2588,sir,sir,sir,sir,sir
2590,sr_wide,sir,sr,sir,sir
2592,sr_narrow,ff,sr,ff,sr_narrow
2593,ff,ff,ff,ff,ff
2594,sir,sir,sir,sir,sir
2595,sir,sir,sir,sir,sir
2596,ff,ff,ff,ff,ff
2598,sr_narrow,sr,sr,sr,sr_narrow
2601,sir,sir,sir,sir,sir
2603,sir,sir,sir,sir,sir
2604,sr_wide,sr,sr,sr,sr_wide
2605,sr_narrow,sir,sir,sir,sir
2606,sir,sir,sir,sir,sir
2607,ff,ff,sr,ff,sr_narrow
2608,sir,sir,sir,sir,sir
2609,ff,ff,ff,ff,sr_narrow
2610,ff,ff,ff,ff,ff
2611,ff,ff,ff,ff,ff
2612,sir,sr,sir,sr,sir
2613,ff,ff,ff,ff,ff
2616,ff,ff,ff,ff,sr_narrow
2617,sir,sir,sir,sir,sir
2618,sr_narrow,sir,sr,sir,sr_narrow
2619,sir,sir,sir,sir,sir
2620,sir,sir,sir,sir,sir
2621,sir,sir,sir,sir,sir
2622,sr_narrow,sir,sr,sir,sr_narrow
2623,ff,ff,ff,ff,ff
2624,sr_narrow,ff,sr,ff,sr_narrow
2625,sr_narrow,sir,sr,sir,sr_narrow
2626,sr_narrow,sir,sir,sir,sr_narrow
2627,sir,sir,sir,sir,sir
2628,sir,sir,sir,sir,sir
2629,sr_narrow,sir,sir,sir,sir
2630,ff,ff,ff,ff,ff
2634,sir,sir,sir,sir,sir
