neuron_id,response_bs,phase_lock_delta,phase_lock_theta
1037,inhibited,True,True
1038,no_response,True,False
1040,no_response,True,False
1041,inhibited,True,True
1044,inhibited,False,False
1045,activated,False,True
1046,no_response,True,False
1047,activated,True,False
1048,activated,True,True
1049,no_response,True,True
1050,activated,True,True
1051,no_response,True,False
1052,activated,True,True
1053,activated,True,True
1054,activated,True,True
1055,activated,True,True
1056,inhibited,False,False
1057,activated,True,True
1058,inhibited,True,True
1059,activated,True,True
1060,inhibited,False,True
1061,activated,True,True
1062,inhibited,True,False
1064,no_response,True,False
1065,inhibited,False,False
1068,inhibited,True,True
2291,no_response,True,True
2293,activated,True,True
2296,no_response,False,True
2298,activated,True,True
2299,inhibited,False,True
2301,inhibited,False,True
2305,activated,True,True
2306,activated,True,True
2309,activated,False,True
2316,activated,False,True
2324,activated,False,True
2328,activated,True,True
2329,activated,True,True
2334,no_response,False,True
2335,activated,True,True
2337,no_response,True,True
2338,activated,False,True
2339,activated,True,False
2340,activated,False,True
2344,activated,True,True
2347,activated,True,True
2348,activated,True,False
2350,activated,False,True
2352,activated,True,True
2353,activated,True,True
2354,activated,False,True
2359,inhibited,False,True
2360,activated,True,True
2361,activated,False,True
2362,activated,False,True
2406,inhibited,True,True
2407,inhibited,True,True
2408,activated,True,True
2410,activated,True,True
2411,activated,True,True
2412,activated,True,True
2413,activated,True,True
2414,activated,True,True
2415,activated,True,True
2418,activated,True,True
2420,activated,True,True
2422,activated,True,True
2424,activated,True,True
2425,activated,True,False
2428,inhibited,True,True
2429,activated,True,True
2461,inhibited,True,False
2463,activated,True,True
2464,activated,True,True
2465,inhibited,True,True
2469,no_response,True,True
2472,activated,True,True
2475,activated,True,True
2476,no_response,True,True
2478,no_response,True,True
2480,activated,True,True
2481,activated,True,True
2482,activated,True,True
2485,inhibited,True,True
2487,activated,True,True
2489,activated,True,True
2493,inhibited,True,False
2494,inhibited,True,False
2496,inhibited,True,False
2503,no_response,False,False
2522,no_response,False,False
2523,activated,False,True
2524,activated,True,True
2525,activated,True,False
2526,activated,True,False
2527,activated,False,False
2528,no_response,True,True
2529,activated,False,True
2531,no_response,True,True
2533,no_response,False,False
2542,no_response,True,True
2544,activated,True,False
2546,no_response,False,False
2548,activated,True,False
2551,activated,True,False
2555,inhibited,True,False
2558,inhibited,True,False
2559,no_response,True,True
2560,activated,True,False
2562,activated,True,True
2563,activated,False,False
2564,no_response,True,True
2566,activated,True,True
2567,no_response,False,True
2568,activated,True,False
2569,activated,True,False
2570,activated,True,True
2571,activated,True,True
2573,activated,True,False
2574,inhibited,True,True
2575,activated,True,False
2577,no_response,True,False
2578,inhibited,True,False
2585,inhibited,True,False
2586,no_response,True,True
2587,inhibited,False,True
2588,activated,True,False
2589,no_response,True,True
2590,activated,True,True
2592,inhibited,True,False
2593,inhibited,True,True
2594,no_response,True,True
2595,activated,True,True
2596,no_response,True,True
2598,inhibited,True,True
2601,activated,True,True
2603,activated,True,False
2604,activated,True,True
2605,activated,True,False
2606,inhibited,True,True
2607,inhibited,True,True
2608,inhibited,True,False
2609,activated,True,True
2610,inhibited,True,True
2611,inhibited,True,True
2612,activated,True,True
2613,inhibited,True,True
2616,inhibited,True,True
2617,activated,True,True
2618,activated,True,True
2619,activated,True,False
2620,activated,True,True
2621,no_response,True,True
2622,activated,True,True
2623,inhibited,True,True
2624,inhibited,True,True
2625,inhibited,True,True
2626,activated,True,True
2627,activated,True,False
2628,no_response,True,True
2629,activated,True,False
2630,activated,True,True
2634,no_response,True,True
