a,b,_distance,weight,comb_id,a_nt,b_nt,nt_comb,distance,source_ensemble,ensemble,sig,ensemble_orig,session_name,block,bin_width,target_ensemble,in_ensemble,same_ensemble,session
1038,1045,0.8735753447096135,0.12642465529038655,"[1038.0, 1045.0]",SR,SIR,SR-SIR,100.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1040,1045,0.9908857033302567,0.009114296669743258,"[1040.0, 1045.0]",SIR,SIR,SIR-SIR,250.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1031,1047,0.9686595749410112,0.0313404250589888,"[1031.0, 1047.0]",FF,SR,SR-FF,291.547594742265,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1035,1047,0.9015987291539683,0.09840127084603172,"[1035.0, 1047.0]",SR,SR,SR-SR,250.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1036,1047,0.9166186902989538,0.08338130970104617,"[1036.0, 1047.0]",SIR,SR,SR-SIR,250.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1038,1047,0.9337562167899198,0.06624378321008012,"[1038.0, 1047.0]",SR,SR,SR-SR,250.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1040,1047,0.9767327049300227,0.023267295069977306,"[1040.0, 1047.0]",SIR,SR,SR-SIR,291.547594742265,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1045,1047,0.9189177424452922,0.08108225755470777,"[1045.0, 1047.0]",SIR,SR,SR-SIR,269.2582403567252,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1031,1048,0.9883593145060137,0.01164068549398629,"[1031.0, 1048.0]",FF,SIR,SIR-FF,251.24689052802225,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1034,1048,0.9918575995178808,0.008142400482119238,"[1034.0, 1048.0]",SR,SIR,SR-SIR,251.24689052802225,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1035,1048,0.9132481031667786,0.08675189683322135,"[1035.0, 1048.0]",SR,SIR,SR-SIR,279.5084971874737,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1036,1048,0.9233845277741682,0.0766154722258318,"[1036.0, 1048.0]",SIR,SIR,SIR-SIR,279.5084971874737,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1040,1048,0.9962865205824607,0.0037134794175392545,"[1040.0, 1048.0]",SIR,SIR,SIR-SIR,251.24689052802225,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1045,1048,0.9400193906933793,0.05998060930662078,"[1045.0, 1048.0]",SIR,SIR,SIR-SIR,336.34060117684277,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1046,1048,0.9946593304929561,0.0053406695070439365,"[1046.0, 1048.0]",SR,SIR,SR-SIR,371.6517186829626,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1047,1048,0.9416719335035127,0.05832806649648722,"[1047.0, 1048.0]",SR,SIR,SR-SIR,127.00885795880538,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1031,1050,0.9949283244150738,0.005071675584926187,"[1031.0, 1050.0]",FF,SR,SR-FF,371.6517186829626,-1,-1,False,4,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1034,1050,0.9377077131852698,0.06229228681473024,"[1034.0, 1050.0]",SR,SR,SR-SR,371.6517186829626,-1,-1,False,4,hamilton_04,pre,0.05,-1,True,False,hamilton_04
