neuron_id,degree,clust,page_rank,session,state,bin_width,neuron_type,in_ensemble,response_bs,phase_lock_delta,phase_lock_theta
36,0.007619742312153954,0.15949885031524044,0.04563880410943472,ESHOCK_04_LOC1,sw,0.05,SR,True,activated,True,True
37,0.0071760590101157045,0.11052231885675586,0.03630153892711271,ESHOCK_04_LOC1,sw,0.05,SR,True,inhibited,True,True
38,0.005511620488356286,0.12317487341677094,0.03397837597375672,ESHOCK_04_LOC1,sw,0.05,SR,True,activated,True,True
39,0.009914804964210829,0.15132200810095225,0.043918405071138256,ESHOCK_04_LOC1,sw,0.05,SR,True,inhibited,True,True
40,0.011471407898814637,0.18366695035653713,0.04967748912877864,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,False
41,0.005833554705428795,0.0815069209473701,0.029717672491577196,ESHOCK_04_LOC1,sw,0.05,FF,True,activated,True,True
42,0.006079784497051088,0.07421659021048105,0.03203438143040485,ESHOCK_04_LOC1,sw,0.05,FF,True,inhibited,True,True
43,0.006958334993595922,0.12272800927725744,0.031984792524513285,ESHOCK_04_LOC1,sw,0.05,FF,True,inhibited,True,True
44,0.011828844327361518,0.1291319537956143,0.05003637843065078,ESHOCK_04_LOC1,sw,0.05,SIR,True,inhibited,True,True
45,0.017209908501890903,0.20176152305991737,0.06936762957927128,ESHOCK_04_LOC1,sw,0.05,FF,True,inhibited,True,True
46,0.01862040310307715,0.19980309612282526,0.07484716882186383,ESHOCK_04_LOC1,sw,0.05,FF,True,inhibited,True,True
47,0.004946125286266783,0.2180013569163504,0.03121626314807136,ESHOCK_04_LOC1,sw,0.05,SR,True,activated,False,True
48,0.007202520390670028,0.041127501486237714,0.028135627617714612,ESHOCK_06_LOC1,sw,0.05,SR,True,inhibited,True,True
49,0.03209968226360039,0.08118858667306081,0.09282322449375553,ESHOCK_06_LOC1,sw,0.05,FF,True,activated,True,True
50,0.009776114698203064,0.0645570851036621,0.03410813914994633,ESHOCK_06_LOC1,sw,0.05,SR,True,inhibited,True,True
51,0.005316635155462973,0.036288189398267355,0.02417817223916028,ESHOCK_06_LOC1,sw,0.05,SR,True,no_response,True,True
52,0.010057307981629822,0.04902694437188691,0.03755962194937717,ESHOCK_06_LOC1,sw,0.05,SR,True,no_response,True,True
54,0.003814129922194878,0.030492148995440654,0.020535865109537393,ESHOCK_06_LOC1,sw,0.05,SR,True,inhibited,True,True
55,0.00273802099016874,0.015732487514545507,0.016569713304035578,ESHOCK_06_LOC1,sw,0.05,SR,True,inhibited,True,True
57,0.026092830637402906,0.1111648890121822,0.0769513196039045,ESHOCK_06_LOC1,sw,0.05,FF,True,activated,True,True
58,0.014545219500002083,0.08963081636724218,0.047821665866537445,ESHOCK_06_LOC1,sw,0.05,SR,True,activated,True,True
59,0.007579374253272875,0.03247209440573955,0.029617645399429928,ESHOCK_06_LOC1,sw,0.05,SIR,True,activated,True,False
60,0.01907484845486944,0.08516710581889497,0.05829874669491677,ESHOCK_06_LOC1,sw,0.05,SR,True,no_response,True,True
62,0.026245713943343175,0.08370360023311083,0.08020338036626118,ESHOCK_06_LOC1,sw,0.05,FF,True,activated,True,True
63,0.014567878950525536,0.056168891605955465,0.05195335610912205,ESHOCK_06_LOC1,sw,0.05,SR,True,no_response,False,False
64,0.022566112976764387,0.09721044381408042,0.07240651974287635,ESHOCK_06_LOC1,sw,0.05,SIR,True,no_response,True,True
69,0.012120830822283988,0.04732819976341755,0.04620238597003734,ESHOCK_06_LOC1,sw,0.05,SIR,True,activated,True,True
70,0.009547944207480548,0.07026023309948971,0.03418030939039078,ESHOCK_06_LOC1,sw,0.05,SR,True,activated,True,True
71,0.0042067566809828785,0.017715864410959393,0.01913524117190993,ESHOCK_06_LOC1,sw,0.05,SR,True,no_response,False,False
73,0.004075688466877004,0.0207862241661003,0.022304757880194426,ESHOCK_06_LOC1,sw,0.05,SR,True,inhibited,True,True
74,0.008159593141573137,0.05176280048727879,0.03128796754338536,ESHOCK_06_LOC1,sw,0.05,SR,True,inhibited,True,True
75,0.021701981472972486,0.07284074099640543,0.06453253604833194,ESHOCK_06_LOC1,sw,0.05,SR,True,activated,True,True
76,0.011530191167519084,0.0481696574684436,0.046302914641723925,ESHOCK_06_LOC1,sw,0.05,SIR,True,no_response,True,True
77,0.02089976770260648,0.06180717211950074,0.06489088970745109,ESHOCK_06_LOC1,sw,0.05,SIR,True,activated,True,True
81,0.0069500596551153185,0.07386659656193245,0.01943583640340524,ESHOCK_07_LOC1,sw,0.05,SIR,True,inhibited,True,True
82,0.016318178569883983,0.08997315749822432,0.030556702115633425,ESHOCK_07_LOC1,sw,0.05,SIR,True,activated,False,False
84,0.06942880131417636,0.14430663566775995,0.09194368130940936,ESHOCK_07_LOC1,sw,0.05,SR,True,activated,True,False
85,0.11598479176429946,0.19161864099825957,0.14971450064187636,ESHOCK_07_LOC1,sw,0.05,SR,True,activated,True,True
86,0.1008604469456258,0.23392877685516206,0.12745414134332497,ESHOCK_07_LOC1,sw,0.05,SR,True,activated,True,True
88,0.11870979853289564,0.1864571004312776,0.14940001672259196,ESHOCK_07_LOC1,sw,0.05,FF,True,activated,True,True
89,0.07394154359287598,0.16809644234189947,0.09889925644067338,ESHOCK_07_LOC1,sw,0.05,SR,True,no_response,True,True
90,0.03532836814743808,0.09523690440988092,0.0600277304629509,ESHOCK_07_LOC1,sw,0.05,FF,True,activated,True,True
91,0.04420783270268106,0.13628451865380367,0.0652581421692919,ESHOCK_07_LOC1,sw,0.05,FF,True,activated,True,True
92,0.014284347298477705,0.07917130572986185,0.030983780280223923,ESHOCK_07_LOC1,sw,0.05,SIR,True,activated,True,True
93,0.05565082383783943,0.18561849220691296,0.07613966745108774,ESHOCK_07_LOC1,sw,0.05,SR,True,activated,True,True
94,0.015999382319613235,0.038603888116458145,0.03569673275558899,ESHOCK_07_LOC1,sw,0.05,SIR,True,activated,True,True
95,0.04282978523247895,0.11190423181908911,0.06448981190394197,ESHOCK_07_LOC1,sw,0.05,SIR,True,activated,True,True
97,0.1077679831840936,0.10393391491672338,0.04249946624611642,ESHOCK_08_LOC1,sw,0.05,FF,True,activated,False,True
98,0.04117265017957041,0.05132126585735052,0.018841320827090217,ESHOCK_08_LOC1,sw,0.05,FF,True,inhibited,True,True
99,0.046124464356334924,0.04806929972514895,0.02105858318297805,ESHOCK_08_LOC1,sw,0.05,SIR,True,inhibited,True,True
100,0.08368766356411683,0.08706885197864543,0.035597110940222276,ESHOCK_08_LOC1,sw,0.05,SIR,True,no_response,True,False
101,0.07520535205972331,0.09134003048058709,0.031060251765938456,ESHOCK_08_LOC1,sw,0.05,FF,True,activated,True,False
102,0.026758589206855435,0.03852047374386413,0.01456056514931897,ESHOCK_08_LOC1,sw,0.05,SR,True,activated,True,True
103,0.06220720991945623,0.0745443988712192,0.025232081990654954,ESHOCK_08_LOC1,sw,0.05,SR,True,no_response,False,False
104,0.03764996512868175,0.04790409957222801,0.01830459494490566,ESHOCK_08_LOC1,sw,0.05,SR,True,activated,True,True
105,0.069710184695573,0.0765620355809535,0.02904521928420859,ESHOCK_08_LOC1,sw,0.05,SR,True,activated,True,True
106,0.03471549307958741,0.05280758413670231,0.01698897130317046,ESHOCK_08_LOC1,sw,0.05,SR,True,activated,False,True
107,0.02585049303750337,0.04812143087515527,0.014904292333269639,ESHOCK_08_LOC1,sw,0.05,SR,True,inhibited,True,False
108,0.019820580815968936,0.0379356362981661,0.011855970056022508,ESHOCK_08_LOC1,sw,0.05,FF,True,inhibited,True,True
109,0.029857958692259712,0.05254663764826917,0.015205288468732937,ESHOCK_08_LOC1,sw,0.05,SR,True,inhibited,True,False
110,0.017144072251370778,0.03955499438704032,0.011179393650255342,ESHOCK_08_LOC1,sw,0.05,SR,True,inhibited,True,False
111,0.029149540622071445,0.044778351842098704,0.016110591530385618,ESHOCK_08_LOC1,sw,0.05,FF,True,activated,True,True
113,0.030354200401771985,0.049655305484569943,0.016276439331739317,ESHOCK_08_LOC1,sw,0.05,FF,True,activated,True,True
114,0.22849277382814318,0.12958588140544097,0.08250843776249205,ESHOCK_08_LOC1,sw,0.05,FF,True,no_response,True,True
115,0.07446156802871186,0.07722715456888501,0.03153072646667392,ESHOCK_08_LOC1,sw,0.05,SIR,True,activated,True,True
116,0.0242112483533861,0.04291785966062099,0.014088135742228286,ESHOCK_08_LOC1,sw,0.05,FF,True,inhibited,True,False
117,0.21014054042788466,0.13455661062263483,0.07611154918382848,ESHOCK_08_LOC1,sw,0.05,FF,True,no_response,True,False
118,0.21848282609181144,0.12999250514850622,0.07861728020103251,ESHOCK_08_LOC1,sw,0.05,SIR,True,no_response,True,True
120,0.16875389945129302,0.10171282826096117,0.06235950554396019,ESHOCK_08_LOC1,sw,0.05,SIR,True,no_response,True,False
121,0.06023205745312614,0.06954391117738294,0.02599798233612444,ESHOCK_08_LOC1,sw,0.05,SR,True,activated,True,True
122,0.22356841129025348,0.12764315488643846,0.08044982362380919,ESHOCK_08_LOC1,sw,0.05,SIR,True,no_response,True,True
123,0.03786907543960046,0.04564499173206776,0.018622931908483943,ESHOCK_08_LOC1,sw,0.05,SIR,True,activated,False,True
124,0.1331070861174737,0.0922509791749313,0.049736082287070646,ESHOCK_08_LOC1,sw,0.05,SIR,True,no_response,True,True
125,0.017844277797645643,0.03728705155844682,0.011915014366020469,ESHOCK_08_LOC1,sw,0.05,SR,True,inhibited,True,False
126,0.06322153644804143,0.06120770099791196,0.026235856547875722,ESHOCK_08_LOC1,sw,0.05,SIR,True,inhibited,True,True
127,0.13325463802697388,0.10520007384477288,0.05021187568508507,ESHOCK_08_LOC1,sw,0.05,SIR,True,no_response,True,False
128,0.14230108670432048,0.09118850831739765,0.05289465734030542,ESHOCK_08_LOC1,sw,0.05,FF,True,no_response,True,True
132,0.011953620790354646,0.022961457302951332,0.008926258101126607,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,True
135,0.13516206603036063,0.13867127968858006,0.04773758932073745,ESHOCK_09_LOC1,sw,0.05,FF,True,inhibited,True,True
136,0.010880233429767948,0.018200599644093055,0.009169898741687003,ESHOCK_09_LOC1,sw,0.05,SR,True,no_response,True,False
137,0.03696646365158942,0.07550217068639913,0.01667219300254623,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,False,False
138,0.134583889734151,0.10060870678286268,0.0480390500482548,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,True
139,0.009229542062947932,0.02348086582968793,0.009441149046543428,ESHOCK_09_LOC1,sw,0.05,SR,True,no_response,True,False
140,0.17407864457536518,0.14254067513792704,0.060533383217915286,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,True
142,0.08093005872421431,0.09279543861005282,0.030855893981814916,ESHOCK_09_LOC1,sw,0.05,SR,True,no_response,True,True
144,0.059424435322857634,0.09331301098663365,0.023585257167564013,ESHOCK_09_LOC1,sw,0.05,FF,True,inhibited,True,True
145,0.008632405393543407,0.01894450995874191,0.008336610226321796,ESHOCK_09_LOC1,sw,0.05,SIR,True,inhibited,True,False
146,0.021891444655431486,0.03889019847554217,0.0122937748012677,ESHOCK_09_LOC1,sw,0.05,SR,True,inhibited,True,True
147,0.09520178938409954,0.0956605385774546,0.03575081669304726,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,True
151,0.007637826785754454,0.0227211686491177,0.007881595496152777,ESHOCK_09_LOC1,sw,0.05,SIR,True,inhibited,True,True
152,0.09809142588400971,0.11333218169898471,0.03522116669394143,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,True
153,0.08619395112328147,0.10621304512494645,0.03195763729698896,ESHOCK_09_LOC1,sw,0.05,SIR,True,activated,True,True
154,0.06828769082669094,0.08824519647115948,0.026485505454850632,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,True
155,0.09450720828114706,0.11073514599105218,0.033710175651909605,ESHOCK_09_LOC1,sw,0.05,SR,True,inhibited,True,True
156,0.13618563531545524,0.12425564276739165,0.04738997209241324,ESHOCK_09_LOC1,sw,0.05,SR,True,inhibited,True,True
157,0.08610015287262478,0.11334480075082658,0.03161848175375193,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,True
158,0.0712408260588446,0.07458462718389115,0.028450203262142947,ESHOCK_09_LOC1,sw,0.05,SIR,True,activated,True,True
159,0.062224512384434605,0.08762271330522868,0.025846079295643476,ESHOCK_09_LOC1,sw,0.05,SIR,True,activated,True,True
161,0.17218375285422902,0.13297005685043833,0.059288348484672834,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,True
162,0.168776645272473,0.16008537590984526,0.058517575422733094,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,True
163,0.11919421490475937,0.11221322037299651,0.04247731526645883,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,False
164,0.11055313176438557,0.11524487490081076,0.03999501535841072,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,False
166,0.09901460650943077,0.1127683715658219,0.03517115648884409,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,False,True
167,0.01667426868291843,0.029642009479359112,0.010404172498870917,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,True
176,0.026757205744938856,0.04479196169246817,0.01408434563592253,ESHOCK_09_LOC1,sw,0.05,FF,True,inhibited,True,True
177,0.06039248172673401,0.07656039247828489,0.02520405797700548,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,False
178,0.021423615407021368,0.04102356536709971,0.012660627816125482,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,True,False
179,0.020841013640900054,0.039297127083961644,0.012262770264206592,ESHOCK_09_LOC1,sw,0.05,SIR,True,activated,True,True
180,0.021819287000918855,0.0402264457087283,0.013601618512163183,ESHOCK_09_LOC1,sw,0.05,SIR,True,inhibited,True,True
181,0.03322317381200795,0.042443034857366814,0.01803782943533706,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,False
182,0.028940584694775156,0.04549478526022043,0.016196303843071434,ESHOCK_09_LOC1,sw,0.05,FF,True,activated,True,True
184,0.09554777037495203,0.11822804016262647,0.03422749237427807,ESHOCK_09_LOC1,sw,0.05,SIR,True,activated,True,False
185,0.06300095410989094,0.06733532221577802,0.02796867927527833,ESHOCK_09_LOC1,sw,0.05,SR,True,activated,False,True
1011,0.006526990915868282,0.11348572809416595,0.06892901122597427,hamilton_10,sw,0.05,SR,True,activated,True,True
1013,0.028804377993302883,0.17454276551503334,0.22925814706773767,hamilton_10,sw,0.05,SR,True,activated,False,True
1014,0.010363964287041266,0.079990415059946,0.1129340883711267,hamilton_10,sw,0.05,SIR,True,no_response,True,True
1015,0.03692296749010961,0.18279791933396572,0.29335413327305837,hamilton_10,sw,0.05,SR,True,activated,False,True
1016,0.0010070127824778525,0.0,0.02807718375200257,hamilton_10,sw,0.05,SR,True,inhibited,False,True
1018,0.00015272602496742862,0.0,0.01988266738591137,hamilton_10,sw,0.05,SR,True,inhibited,True,True
1019,0.009292563330998082,0.11324331190681551,0.09021887223347776,hamilton_10,sw,0.05,SIR,True,activated,True,True
1020,0.01803362514792221,0.146508417248506,0.15734589669071097,hamilton_10,sw,0.05,SIR,True,no_response,False,False
1021,0.02794847823983493,0.12360098832593074,0.14087546400407297,hamilton_03,sw,0.05,FF,True,no_response,True,True
1022,0.014492183184076626,0.14346932110797952,0.07907374327539281,hamilton_03,sw,0.05,SIR,True,no_response,True,True
1024,0.023268677704485492,0.2249713491610344,0.11524179131868661,hamilton_03,sw,0.05,SR,True,inhibited,True,True
1025,0.018884254676442128,0.23073751175623705,0.09979094217153879,hamilton_03,sw,0.05,SR,True,activated,False,True
1026,0.017321329255381664,0.15985891620027587,0.08956641195297971,hamilton_03,sw,0.05,SR,True,inhibited,True,True
1027,0.024261584016062303,0.24887370682336402,0.12036085867744514,hamilton_03,sw,0.05,SR,True,inhibited,True,True
1028,0.025367174203743983,0.1841956879782802,0.12947296697480754,hamilton_03,sw,0.05,SR,True,activated,True,True
1029,0.016997375099350835,0.19988939626254962,0.09099766348456148,hamilton_03,sw,0.05,FF,True,activated,True,True
1030,0.02766363846532469,0.23308110961361767,0.13462015814051495,hamilton_03,sw,0.05,SR,True,inhibited,True,True
1031,0.010416887707624395,0.05218247437062315,0.05051022961368607,hamilton_04,sw,0.05,FF,True,inhibited,True,True
1032,0.0005341663941648401,0.0,0.01216514515689252,hamilton_04,sw,0.05,SR,True,inhibited,True,False
1034,0.0181472212239802,0.13524421276442328,0.06716977828280732,hamilton_04,sw,0.05,SR,True,activated,True,True
1035,0.035234938876930376,0.3563517435759735,0.11075682630419645,hamilton_04,sw,0.05,SR,True,activated,False,True
1036,0.029436820083292375,0.21220443109094841,0.09381377320294451,hamilton_04,sw,0.05,SIR,True,activated,False,True
1037,0.01350113002336849,0.18356608495533233,0.058990765011042785,hamilton_04,sw,0.05,SIR,True,inhibited,True,True
1038,0.013959531618531147,0.13696609709573979,0.059365957484658435,hamilton_04,sw,0.05,SR,True,no_response,True,False
1040,0.0059299646409161,0.16100305694271452,0.02670919115989622,hamilton_04,sw,0.05,SIR,True,no_response,True,False
1041,0.007107722606075711,0.15168928252611588,0.03512078459315029,hamilton_04,sw,0.05,SIR,True,inhibited,True,True
1044,0.00765050593430556,0.09389055663878876,0.04701228005497855,hamilton_04,sw,0.05,SIR,True,inhibited,False,False
1045,0.029161583233183595,0.21044712013166808,0.09429084955577967,hamilton_04,sw,0.05,SIR,True,activated,False,True
1046,0.011089822037132971,0.13450127629068767,0.048930669235725616,hamilton_04,sw,0.05,SR,True,no_response,True,False
1047,0.023958492521669365,0.2352161191368234,0.07849064122358061,hamilton_04,sw,0.05,SR,True,activated,True,False
1048,0.01623921092098455,0.17182503695018247,0.055568555973512915,hamilton_04,sw,0.05,SIR,True,activated,True,True
1049,0.01766484790222486,0.18577527325223087,0.06240058204905394,hamilton_04,sw,0.05,SR,True,no_response,True,True
1050,0.029014563827737316,0.20186659908097151,0.0987039710980944,hamilton_04,sw,0.05,SR,True,activated,True,True
1051,0.1058247644298281,0.049373552234974576,0.1751779440276086,hamilton_09,sw,0.05,FF,True,,,
1052,0.010483731149105863,0.03880572003679024,0.02703231273490472,hamilton_09,sw,0.05,SR,True,,,
1053,0.01022798251323344,0.01700777219290533,0.030537356702251123,hamilton_09,sw,0.05,FF,True,,,
1054,0.013596334983532,0.019513360903319853,0.03752242431220707,hamilton_09,sw,0.05,FF,True,,,
1055,0.015069596038351035,0.021793139210905837,0.0436260273392163,hamilton_09,sw,0.05,FF,True,,,
1056,0.022376191083127432,0.024742819578510773,0.055097968130805274,hamilton_09,sw,0.05,SIR,True,,,
1057,0.01620227253901604,0.02563902758860263,0.04463703392162278,hamilton_09,sw,0.05,FF,True,,,
1058,0.0319986826719613,0.041270613274676814,0.0579478550150816,hamilton_09,sw,0.05,SR,True,,,
1059,0.012424938874218245,0.018719204139530335,0.03362112633466169,hamilton_09,sw,0.05,SR,True,,,
1060,0.0782985833178315,0.04656787251822,0.1367305944176599,hamilton_09,sw,0.05,SR,True,,,
1061,0.0231670434088419,0.02987733432380186,0.0508096504863681,hamilton_09,sw,0.05,SR,True,,,
1062,0.01816454775138358,0.03758287396559933,0.042681534815631875,hamilton_09,sw,0.05,SIR,True,,,
1064,0.10583952563928166,0.06162959073548507,0.1729778631559289,hamilton_09,sw,0.05,FF,True,,,
1065,0.019823361808379472,0.02667491615782669,0.05050867334723641,hamilton_09,sw,0.05,SR,True,,,
1068,0.016327932693556483,0.03185497996648691,0.041091635258815824,hamilton_09,sw,0.05,FF,True,,,
2291,0.011216465013938425,0.021308684588909423,0.021505733889070608,acute_15,sw,0.05,SR,True,no_response,True,True
2293,0.0055386323876197565,0.014890417447826347,0.015837206011360235,acute_15,sw,0.05,SR,True,activated,True,True
2296,0.013052949869010016,0.030131297860319546,0.01705396997744749,acute_15,sw,0.05,SR,True,no_response,False,True
2298,0.009534759656860037,0.019041754577069178,0.022749212017117854,acute_15,sw,0.05,SIR,True,activated,True,True
2299,0.004573399678743329,0.011982736828278176,0.01502139244685503,acute_15,sw,0.05,SR,True,inhibited,False,True
2301,0.006857023453054392,0.01575546073467497,0.019221089123722876,acute_15,sw,0.05,SR,True,inhibited,False,True
2305,0.03655296321289872,0.0577600487738432,0.037496515716306966,acute_15,sw,0.05,SIR,True,activated,True,True
2306,0.08120834469919062,0.11487143583463769,0.0635369605960929,acute_15,sw,0.05,FF,True,activated,True,True
2309,0.007531864466308552,0.01344635800572259,0.017536499945533676,acute_15,sw,0.05,SR,True,activated,False,True
2316,0.00840067037660061,0.019023501824819697,0.020119707640853794,acute_15,sw,0.05,SIR,True,activated,False,True
2324,0.016136110525084523,0.022193965689342888,0.03200526925771301,acute_15,sw,0.05,SIR,True,activated,False,True
2328,0.01388889238975415,0.03044273392559442,0.01972335675159994,acute_15,sw,0.05,FF,True,activated,True,True
2329,0.0891876929748571,0.22289138131714534,0.06503946620432038,acute_15,sw,0.05,SIR,True,activated,True,True
2334,0.003358910225219473,0.00865868940782178,0.01099353283927961,acute_15,sw,0.05,SR,True,no_response,False,True
2335,0.07576356170170932,0.2270646854093257,0.0555494490638933,acute_15,sw,0.05,SR,True,activated,True,True
2337,0.004737307791019121,0.013207875461874014,0.01494464652566802,acute_15,sw,0.05,SR,True,no_response,True,True
2338,0.016386002044812883,0.07263156904401576,0.017918799364447527,acute_15,sw,0.05,SR,True,activated,False,True
2339,0.10562230670621216,0.17588139615410145,0.07694427188220024,acute_15,sw,0.05,SIR,True,activated,True,False
2340,0.007768958600351478,0.013452851456608421,0.01768579776804939,acute_15,sw,0.05,SR,True,activated,False,True
2344,0.07044609401755335,0.1536098220003784,0.05375182783231931,acute_15,sw,0.05,FF,True,activated,True,True
2347,0.09239230538694636,0.1744283386139446,0.06733109964211832,acute_15,sw,0.05,SIR,True,activated,True,True
2348,0.054913655549490105,0.09472156015621722,0.04642195607821475,acute_15,sw,0.05,SIR,True,activated,True,False
2350,0.03659489285033608,0.08064475732351893,0.031203671793612334,acute_15,sw,0.05,FF,True,activated,False,True
2352,0.11165487342472649,0.16471981266433003,0.0816118894231816,acute_15,sw,0.05,FF,True,activated,True,True
2353,0.008460881285286508,0.02234343651375442,0.025325589619949802,acute_15,sw,0.05,SR,True,activated,True,True
2354,0.007713321334439086,0.012737772561847474,0.017583663679629925,acute_15,sw,0.05,SR,True,activated,False,True
2359,0.002158493683620376,0.007234366579891961,0.00989227058659365,acute_15,sw,0.05,SR,True,inhibited,False,True
2360,0.07328889732657413,0.12928990076951793,0.05628588465369517,acute_15,sw,0.05,SIR,True,activated,True,True
2361,0.012973761750179237,0.021178811371742455,0.028672439767382138,acute_15,sw,0.05,SR,True,activated,False,True
2362,0.012132289674009956,0.024425810404450948,0.021036829901770145,acute_15,sw,0.05,SIR,True,activated,False,True
2406,0.0008493414723871307,0.00673678191126807,0.01193460038018609,acute_16,sw,0.05,SR,True,inhibited,True,True
2407,0.011207637052951833,0.04828492262777235,0.035587379916708684,acute_16,sw,0.05,SIR,True,inhibited,True,True
2408,0.0162038835826337,0.03849993788132999,0.046533285122656136,acute_16,sw,0.05,FF,True,activated,True,True
2410,0.008165552581690891,0.0412333813647599,0.02723572554031352,acute_16,sw,0.05,SIR,True,activated,True,True
2411,0.005514981114631707,0.019428288622020288,0.025882836686727178,acute_16,sw,0.05,SR,True,activated,True,True
2412,0.021407766126213933,0.06676947505799154,0.054787987961022945,acute_16,sw,0.05,SIR,True,activated,True,True
2413,0.031546951911499664,0.07431004983588745,0.07847425541538611,acute_16,sw,0.05,SIR,True,activated,True,True
2414,0.023030819638307394,0.0647285643933133,0.0586632202234415,acute_16,sw,0.05,SR,True,activated,True,True
2415,0.04992575144906246,0.10017550152013714,0.11620194361482933,acute_16,sw,0.05,FF,True,activated,True,True
2418,0.011737321057027609,0.03372006713992525,0.04561595321480653,acute_16,sw,0.05,SIR,True,activated,True,True
2420,0.03592271398467147,0.10473429803604846,0.08138407147541729,acute_16,sw,0.05,FF,True,activated,True,True
2422,0.044307259235119606,0.10518159219664953,0.09752496286948348,acute_16,sw,0.05,FF,True,activated,True,True
2424,0.0767009768701242,0.13272253352553676,0.16599718111823272,acute_16,sw,0.05,FF,True,activated,True,True
2425,0.026952402941793924,0.06016724114002319,0.06999709252868529,acute_16,sw,0.05,SIR,True,activated,True,False
2428,0.009944143387679842,0.040532119095268535,0.03356656599228956,acute_16,sw,0.05,SIR,True,inhibited,True,True
2429,0.01803225262685518,0.04967467941069565,0.050612937939813314,acute_16,sw,0.05,FF,True,activated,True,True
2461,0.011634763713768958,0.13834030749123066,0.06341053835781872,acute_14,sw,0.05,SR,True,inhibited,True,False
2463,0.00922667799141572,0.08373126221205326,0.05341757963562567,acute_14,sw,0.05,SR,True,activated,True,True
2464,0.016424691821753497,0.11270323657188779,0.08370267691464116,acute_14,sw,0.05,SR,True,activated,True,True
2465,0.004332169455577203,0.029209234220451963,0.033547881461230576,acute_14,sw,0.05,SR,True,inhibited,True,True
2469,0.013711231278049699,0.08031874577038971,0.07053475958338988,acute_14,sw,0.05,SIR,True,no_response,True,True
2472,0.012191791504635303,0.08780623331641392,0.0662928529546836,acute_14,sw,0.05,SR,True,activated,True,True
2475,0.02204522976361053,0.11141712785013293,0.10851185362997849,acute_14,sw,0.05,FF,True,activated,True,True
2476,0.006808040888464367,0.0809219648452887,0.04127336885833529,acute_14,sw,0.05,FF,True,no_response,True,True
2478,0.005315727057467499,0.09368100481085526,0.03125317266468856,acute_14,sw,0.05,SR,True,no_response,True,True
