neuron_id,degree,clust,page_rank,session,shuffle,neuron_type,in_ensemble
86,0.20119637060279663,0.22197566896567308,0.07796186495714126,ESHOCK_07_LOC1,True,SR,False
88,0.21594252213663395,0.2596546824914413,0.08194192863099062,ESHOCK_07_LOC1,True,FF,False
89,0.2419578729526341,0.31210410461024024,0.0918502774429492,ESHOCK_07_LOC1,True,SR,False
90,0.1779873789511779,0.22776113449461563,0.07077475520636795,ESHOCK_07_LOC1,True,FF,False
91,0.13463878831211692,0.20103537953331935,0.05587159406413338,ESHOCK_07_LOC1,True,FF,False
92,0.166743016018929,0.2341420104107536,0.0670550534741097,ESHOCK_07_LOC1,True,SIR,False
93,0.12067575487001149,0.14966031875918656,0.0515867388928544,ESHOCK_07_LOC1,True,SR,False
94,0.11119270628027128,0.17263993356760796,0.048136808971658,ESHOCK_07_LOC1,True,SIR,False
95,0.22576825178307894,0.1715013770486908,0.08929275710854685,ESHOCK_07_LOC1,True,SIR,False
97,0.13380548522470298,0.11704912984774876,0.02750860240266506,ESHOCK_08_LOC1,True,FF,True
98,0.14490130724708095,0.11758335911363753,0.029082609257781472,ESHOCK_08_LOC1,True,FF,True
99,0.14380009173880862,0.1254571077271842,0.028800888509827885,ESHOCK_08_LOC1,True,SIR,True
100,0.2016290470955243,0.18565120876113547,0.03840218357485778,ESHOCK_08_LOC1,True,SIR,True
101,0.12759309027382523,0.10818071787973724,0.026610562708352586,ESHOCK_08_LOC1,True,FF,True
102,0.1506449587098208,0.13117091173298437,0.030189548783608175,ESHOCK_08_LOC1,True,SR,True
103,0.12952910207059304,0.10287270464402119,0.026834619215564254,ESHOCK_08_LOC1,True,SR,True
104,0.21983468277540233,0.15562729645935358,0.04224050001931677,ESHOCK_08_LOC1,True,SR,True
105,0.13250978086423945,0.11721779376995133,0.026924887301645765,ESHOCK_08_LOC1,True,SR,True
106,0.22536869037368273,0.14307287278341663,0.04252917265127497,ESHOCK_08_LOC1,True,SR,True
107,0.14418744878056197,0.1358059494249167,0.02910914426385048,ESHOCK_08_LOC1,True,SR,True
108,0.1632291266246629,0.12034374729256865,0.03235212428560043,ESHOCK_08_LOC1,True,FF,True
109,0.16138162292583816,0.13248787188429434,0.03184100308948409,ESHOCK_08_LOC1,True,SR,True
110,0.15788421521117632,0.15208209954909968,0.03104820715739516,ESHOCK_08_LOC1,True,SR,True
111,0.19384470263239997,0.16283449448512333,0.03736390534962407,ESHOCK_08_LOC1,True,FF,True
113,0.19883037743142504,0.1525427125344248,0.03820540528683519,ESHOCK_08_LOC1,True,FF,True
114,0.167164285910379,0.13206647670329358,0.03278327049863926,ESHOCK_08_LOC1,True,FF,True
115,0.2137494740570949,0.19343198090835698,0.040237831425001175,ESHOCK_08_LOC1,True,SIR,True
116,0.19128424721181395,0.16114357944572702,0.0370850998441999,ESHOCK_08_LOC1,True,FF,True
117,0.17927868568945696,0.11897392849715992,0.03507805623797894,ESHOCK_08_LOC1,True,FF,True
118,0.168130440674719,0.1612895573025255,0.03315582809701797,ESHOCK_08_LOC1,True,SIR,True
120,0.15558966032903174,0.10945205945586084,0.031099100682966133,ESHOCK_08_LOC1,True,SIR,True
121,0.17206340275904303,0.14879634455402857,0.03381721200523991,ESHOCK_08_LOC1,True,SR,True
122,0.09533787195379986,0.09199442851642464,0.020899498038707286,ESHOCK_08_LOC1,True,SIR,True
123,0.19436961530189079,0.15112299661583406,0.037661453896917635,ESHOCK_08_LOC1,True,SIR,True
124,0.1621421308813114,0.1112725418641246,0.032027177958497355,ESHOCK_08_LOC1,True,SIR,True
125,0.1484659798766247,0.11614123898770638,0.02994825942458578,ESHOCK_08_LOC1,True,SR,True
126,0.1504752489478383,0.1279634369523534,0.03048016002091822,ESHOCK_08_LOC1,True,SIR,True
127,0.2664025841927154,0.1703436345961976,0.049712997336796114,ESHOCK_08_LOC1,True,SIR,True
128,0.1929841768480581,0.16704801922615045,0.03697069067485034,ESHOCK_08_LOC1,True,FF,True
132,0.20033628013950167,0.18054105261782136,0.027996364103292662,ESHOCK_09_LOC1,True,SR,True
135,0.2464350235246574,0.23341493262127755,0.03319563269229341,ESHOCK_09_LOC1,True,FF,True
136,0.15487358922387554,0.14867027956823994,0.022477152410007126,ESHOCK_09_LOC1,True,SR,True
137,0.17639467450830348,0.1769448887140258,0.024897349537693222,ESHOCK_09_LOC1,True,SR,True
138,0.24107961806505918,0.18900079572607958,0.03254971581775348,ESHOCK_09_LOC1,True,SR,True
139,0.19057189550103215,0.1814317980419672,0.02656486061327365,ESHOCK_09_LOC1,True,SR,True
140,0.2394851758939194,0.20302040966482054,0.03241984018937971,ESHOCK_09_LOC1,True,SR,True
142,0.16795890882827158,0.16696736393332307,0.023939155877273667,ESHOCK_09_LOC1,True,SR,True
144,0.17617264349012984,0.1587602632885845,0.024939079310100212,ESHOCK_09_LOC1,True,FF,True
145,0.16051343593187684,0.17239690169210925,0.02310029871227333,ESHOCK_09_LOC1,True,SIR,True
146,0.1355392758144362,0.16352997426092394,0.02022906816318437,ESHOCK_09_LOC1,True,SR,True
147,0.16488814333817473,0.1911181610608002,0.023753995301024407,ESHOCK_09_LOC1,True,SR,True
151,0.2375882669687041,0.22042081848697162,0.03203735027881313,ESHOCK_09_LOC1,True,SIR,True
152,0.13544539916202758,0.14931391366530597,0.0200927961538084,ESHOCK_09_LOC1,True,FF,True
153,0.2743098969656489,0.1996502120057496,0.03680074166776422,ESHOCK_09_LOC1,True,SIR,True
154,0.21110357204054286,0.19908161690926893,0.029336898912964413,ESHOCK_09_LOC1,True,FF,True
155,0.2624100119923631,0.22911012373175163,0.03532050078504767,ESHOCK_09_LOC1,True,SR,True
156,0.14041294537839571,0.16057937074626613,0.02067598827605418,ESHOCK_09_LOC1,True,SR,True
157,0.16578262859983128,0.16429125943310396,0.023887724479924086,ESHOCK_09_LOC1,True,FF,True
158,0.2362298338965633,0.20535103182858663,0.03243161384581596,ESHOCK_09_LOC1,True,SIR,True
159,0.19611086347169118,0.20222325850766526,0.027453708381295107,ESHOCK_09_LOC1,True,SIR,True
161,0.15034085685647067,0.16425094751031621,0.021842130651312526,ESHOCK_09_LOC1,True,SR,True
162,0.21094155409007714,0.20062573120421978,0.029009273648111955,ESHOCK_09_LOC1,True,FF,True
163,0.23614262581169326,0.20917350775908924,0.032154608015606476,ESHOCK_09_LOC1,True,SR,True
164,0.27318481833896907,0.20106801408684666,0.036487257189304456,ESHOCK_09_LOC1,True,FF,True
