neuron_id,waveform_width,peak_asymmetry,mean_firing_rate,cv2_isi,recording_session_id,cluster_id,channel,is_single_unit,session_name,group_name,experiment_name,cv2_burst,is_burster,median_burst
1721,29.0,0.11553784860557768,2.504994647460232,0.7995906806353263,40,175,23,1,hamilton_38,acute_cit,HAMILTON,0.6205883413736045,True,0.028700000000029036
1725,27.0,0.1067193675889328,2.5340778273759805,0.9711931478314074,40,214,24,1,hamilton_38,acute_cit,HAMILTON,0.6972217312171256,True,0.023133333333134942
1726,25.0,0.099601593625498,2.87758859392803,0.9734974395504419,40,221,26,1,hamilton_38,acute_cit,HAMILTON,0.6889118654819946,True,0.026033333333316477
1727,27.0,0.1067193675889328,3.5840903701832434,0.9173037873350668,40,225,27,1,hamilton_38,acute_cit,HAMILTON,0.6206851833897629,True,0.025483333333340852
1728,29.0,0.11196911196911197,0.3380233741151156,1.034884470108949,40,227,29,1,hamilton_38,acute_cit,HAMILTON,0.9236832308315658,True,0.028633333333345945
1732,55.0,0.1864406779661017,0.04938653193240326,1.0650159930916123,40,258,29,1,hamilton_38,acute_cit,HAMILTON,0.9890261757260246,False,0.029899999999997817
1733,27.0,0.1067193675889328,0.9240768863796344,1.0422521965069724,40,261,29,1,hamilton_38,acute_cit,HAMILTON,0.8127649294546968,True,0.018866666666610854
1735,22.0,0.09166666666666666,0.0016462177310801087,1.3613250282947948,40,267,30,1,hamilton_38,acute_cit,HAMILTON,1.3613250282947948,False,
1736,48.0,0.18461538461538463,0.010700415252020706,1.1463230847813366,40,268,30,1,hamilton_38,acute_cit,HAMILTON,1.1463230847813366,False,
1737,31.0,0.1225296442687747,1.948024315111462,0.9263020498495836,40,270,30,1,hamilton_38,acute_cit,HAMILTON,0.7412719579713454,True,0.026233333333493647
1739,56.0,0.1891891891891892,1.4835165453250245,0.4235648215889465,40,273,31,1,hamilton_38,acute_cit,HAMILTON,0.42324964948864036,False,0.04396666666661986
1741,21.0,0.08502024291497975,2.52173119439288,0.9619948801237367,40,281,31,1,hamilton_38,acute_cit,HAMILTON,0.7141225375136778,True,0.02460000000007767
1743,43.0,0.17408906882591094,4.619835692654478,0.9385211865021698,40,283,32,1,hamilton_38,acute_cit,HAMILTON,0.5642994019536373,True,0.023633333333236806
1748,41.0,0.17012448132780084,0.6170572795331941,0.9935219193805601,40,292,27,1,hamilton_38,acute_cit,HAMILTON,0.8655856637017141,True,0.02686666666659221
1749,99.0,0.45622119815668205,1.5051917454509127,1.005305427577335,40,293,32,1,hamilton_38,acute_cit,HAMILTON,0.8376497232502456,True,0.03275000000002137
1751,31.0,0.12062256809338522,0.03978359516776929,0.9619448845325298,40,295,25,1,hamilton_38,acute_cit,HAMILTON,0.9546351582970972,False,0.0003000000001520675
1752,19.0,0.07755102040816327,2.2512027472520484,0.8240933559219774,40,297,32,1,hamilton_38,acute_cit,HAMILTON,0.620200038096704,True,0.02386666666669157
1754,43.0,0.15867158671586715,1.2261578400328343,0.9754563088375057,40,301,12,1,hamilton_38,acute_cit,HAMILTON,0.8695317625367367,True,0.03636666666659494
1755,82.0,0.38317757009345793,0.6826316191545517,0.5007880100473279,40,303,21,1,hamilton_38,acute_cit,HAMILTON,0.45656446498299186,False,0.032066666666651145
1760,51.0,0.17647058823529413,1.6610336906598295,0.42552815929834803,41,13,3,1,hamilton_37,acute_sal,HAMILTON,0.41706429292573766,False,0.024500000000017508
1767,45.0,0.16605166051660517,3.2260380136733198,0.8275351233563687,41,60,6,1,hamilton_37,acute_sal,HAMILTON,0.6106952808046044,True,0.029333333333227074
1769,50.0,0.18518518518518517,2.3123871729238594,0.7916585312473425,41,88,9,1,hamilton_37,acute_sal,HAMILTON,0.5685884369475117,True,0.024866666666667925
1772,63.0,0.21951219512195122,0.049112162310556574,0.9356250726210131,41,104,12,1,hamilton_37,acute_sal,HAMILTON,0.8959979624946883,False,0.012766666666720994
1774,46.0,0.16911764705882354,2.3529938769571688,0.4551448771320967,41,108,9,1,hamilton_37,acute_sal,HAMILTON,0.352497651192635,False,0.024466666666597803
1775,61.0,0.22846441947565543,1.0700415252020705,0.8938052342578143,41,109,13,1,hamilton_37,acute_sal,HAMILTON,0.6126653473201807,True,0.02243333333333908
1792,29.0,0.11740890688259109,1.8059008509948793,0.5465010953110833,41,208,20,1,hamilton_37,acute_sal,HAMILTON,0.4809040256649317,False,0.026999999999986812
1795,22.0,0.08870967741935484,2.445730809141348,0.7179539996342941,41,212,21,1,hamilton_37,acute_sal,HAMILTON,0.5809649441682232,False,0.025500000000192813
1800,22.0,0.08943089430894309,1.7751714533480505,0.5848629034437437,41,241,26,1,hamilton_37,acute_sal,HAMILTON,0.5393462207316094,False,0.030399999999985994
1810,44.0,0.16666666666666666,0.3860380579382855,1.0459373245237613,41,310,3,1,hamilton_37,acute_sal,HAMILTON,0.9458010011454346,False,0.024833333333333485
1811,41.0,0.15471698113207547,2.640807610274341,0.4906827152553581,41,312,16,1,hamilton_37,acute_sal,HAMILTON,0.36876184755438307,False,0.025566666666719584
1812,48.0,0.17647058823529413,2.135967506076441,0.45858289431677296,41,314,10,1,hamilton_37,acute_sal,HAMILTON,0.41215073162992927,False,0.02595000000000347
1813,53.0,0.20306513409961685,1.6967017414998986,0.3018248782444674,41,316,8,1,hamilton_37,acute_sal,HAMILTON,0.296093400004757,False,0.028833333333317057
1814,52.0,0.1897810218978102,1.874767626078397,0.3709841465933061,41,318,6,1,hamilton_37,acute_sal,HAMILTON,0.3297432914755785,False,0.026999999999816282
1815,43.0,0.1575091575091575,1.1457675408317556,0.4116820370205901,41,320,30,1,hamilton_37,acute_sal,HAMILTON,0.4077204254472709,False,0.038133333333348673
1816,48.0,0.17777777777777778,1.2963964632255855,0.6199068118811372,41,322,28,1,hamilton_37,acute_sal,HAMILTON,0.547450177811631,False,0.020866666666648825
1817,58.0,0.20567375886524822,1.2286271666294544,0.509391066264117,41,324,10,1,hamilton_37,acute_sal,HAMILTON,0.4490591328119229,False,0.02970000000000539
