neuron_id,lag,time,cc,session_name,bin_width,p,sig
103,0,0.0,0.0900536183329613,ESHOCK_08_LOC1,1.0,0.8903225806451612,False
105,0,0.0,0.093901674893686,ESHOCK_08_LOC1,1.0,0.0,True
106,0,0.0,0.0585514037856606,ESHOCK_08_LOC1,1.0,0.1209947393591583,False
107,0,0.0,0.0163655669182758,ESHOCK_08_LOC1,1.0,1.5994252873563217,False
108,0,0.0,-0.1086285011380791,ESHOCK_08_LOC1,1.0,0.0,True
111,0,0.0,0.076117903173404,ESHOCK_08_LOC1,1.0,0.0,True
113,0,0.0,0.1124524100784934,ESHOCK_08_LOC1,1.0,0.0,True
117,0,0.0,0.3444241905441514,ESHOCK_08_LOC1,1.0,0.0,True
118,0,0.0,0.3556105566459543,ESHOCK_08_LOC1,1.0,0.0,True
124,0,0.0,0.1333639838879114,ESHOCK_08_LOC1,1.0,0.0,True
125,0,0.0,0.0114179479950818,ESHOCK_08_LOC1,1.0,3.079732197200244,False
132,0,0.0,0.1761928634387134,ESHOCK_09_LOC1,1.0,0.0,True
138,0,0.0,0.3813225086289745,ESHOCK_09_LOC1,1.0,0.0,True
139,0,0.0,-0.0135742908654636,ESHOCK_09_LOC1,1.0,2.370023419203747,False
140,0,0.0,0.4047431990732602,ESHOCK_09_LOC1,1.0,0.0,True
142,0,0.0,0.3041067286046783,ESHOCK_09_LOC1,1.0,0.0,True
144,0,0.0,0.0918342382054301,ESHOCK_09_LOC1,1.0,0.0,True
147,0,0.0,0.2115675212823869,ESHOCK_09_LOC1,1.0,0.0,True
151,0,0.0,-0.0169927226829087,ESHOCK_09_LOC1,1.0,2.370023419203747,False
152,0,0.0,0.3603290288985993,ESHOCK_09_LOC1,1.0,0.0,True
153,0,0.0,0.2372789480920381,ESHOCK_09_LOC1,1.0,0.0,True
154,0,0.0,0.2629271813130224,ESHOCK_09_LOC1,1.0,0.0,True
155,0,0.0,0.2891120416809962,ESHOCK_09_LOC1,1.0,0.0,True
