neuron_id,pop,session_name
95,-0.07320797869275916,ESHOCK_07_LOC1
97,-0.07535325209643622,ESHOCK_08_LOC1
98,-0.06798972945712131,ESHOCK_08_LOC1
99,-0.12617149775467618,ESHOCK_08_LOC1
100,-0.06337427277266379,ESHOCK_08_LOC1
101,-0.07110433035661319,ESHOCK_08_LOC1
102,-0.038369451483216375,ESHOCK_08_LOC1
103,-0.03332053112330291,ESHOCK_08_LOC1
104,-0.08368726501324128,ESHOCK_08_LOC1
105,-0.08653288741408223,ESHOCK_08_LOC1
106,-0.08326568795740981,ESHOCK_08_LOC1
107,-0.08278403682956843,ESHOCK_08_LOC1
108,-0.08550950330375096,ESHOCK_08_LOC1
109,-0.07438385070833257,ESHOCK_08_LOC1
110,-0.09840127633507123,ESHOCK_08_LOC1
111,-0.07853679266625488,ESHOCK_08_LOC1
113,-0.11307355434331487,ESHOCK_08_LOC1
114,-2.8370795107999314,ESHOCK_08_LOC1
115,-0.07426755613574496,ESHOCK_08_LOC1
116,-0.0637666027951203,ESHOCK_08_LOC1
117,-1.8577912661189928,ESHOCK_08_LOC1
118,-0.2772122616296207,ESHOCK_08_LOC1
120,-0.26575457739939345,ESHOCK_08_LOC1
121,-0.09453569705514941,ESHOCK_08_LOC1
122,-0.13146228628976347,ESHOCK_08_LOC1
123,-0.08447803274103785,ESHOCK_08_LOC1
124,-0.14983205739443747,ESHOCK_08_LOC1
125,-0.0797659310303338,ESHOCK_08_LOC1
126,-0.0666083431867174,ESHOCK_08_LOC1
127,-2.4311528528119855,ESHOCK_08_LOC1
128,-3.0616585325772006,ESHOCK_08_LOC1
132,-0.06444969176672326,ESHOCK_09_LOC1
135,-0.1491931498774292,ESHOCK_09_LOC1
136,-0.08316267980144207,ESHOCK_09_LOC1
137,-0.0860552221742148,ESHOCK_09_LOC1
138,-0.10365271088999192,ESHOCK_09_LOC1
139,-0.10259497834158582,ESHOCK_09_LOC1
140,-0.12000618967862771,ESHOCK_09_LOC1
