true,session_name,n_units
0.7314594855785742,acute_15,6
0.9748217868647633,acute_16,6
0.6744176568780442,acute_14,6
0.8815069173848787,acute_12,6
0.8088948186538488,acute_11,6
0.8444555027741503,ESHOCK_04_LOC1,7
0.7381061450900369,ESHOCK_06_LOC1,7
0.9291385361999455,ESHOCK_07_LOC1,7
0.9102771499033929,ESHOCK_08_LOC1,7
0.928465168833179,ESHOCK_09_LOC1,7
0.9267683173031609,hamilton_10,7
0.7884619338394068,hamilton_03,7
0.7659505934486017,hamilton_04,7
0.8317757457036222,hamilton_09,7
0.7098402470518546,acute_15,7
0.9452624097419473,acute_16,7
0.6887272237493566,acute_14,7
0.849881873870506,acute_12,7
0.791163382737093,acute_11,7
0.7864309117615391,ESHOCK_04_LOC1,8
0.7256693418548299,ESHOCK_06_LOC1,8
0.9382579869461753,ESHOCK_07_LOC1,8
0.9668215004469284,ESHOCK_08_LOC1,8
0.8687590363892065,ESHOCK_09_LOC1,8
0.929755360249632,hamilton_10,8
0.7902207920363853,hamilton_03,8
0.8126893648127937,hamilton_04,8
0.819283326603038,hamilton_09,8
0.7142185135950015,acute_15,8
0.9765395409085913,acute_16,8
0.6963987373228504,acute_14,8
0.9272493946582878,acute_12,8
0.8309427725857217,acute_11,8
0.8447701266340102,ESHOCK_04_LOC1,9
0.7321493579353358,ESHOCK_06_LOC1,9
0.9419844190855831,ESHOCK_07_LOC1,9
0.981828666947022,ESHOCK_08_LOC1,9
0.9220840680111412,ESHOCK_09_LOC1,9
0.7859048937228864,hamilton_03,9
0.7887044109054422,hamilton_04,9
0.8056080499670711,hamilton_09,9
0.7258096510507697,acute_15,9
0.9290198901221813,acute_16,9
0.6888035117035589,acute_14,9
0.8866222448956771,acute_12,9
0.8475185428729015,acute_11,9
0.7580634071351955,ESHOCK_04_LOC1,10
0.7802098715958504,ESHOCK_06_LOC1,10
0.9320070075850232,ESHOCK_07_LOC1,10
0.9809570491556642,ESHOCK_08_LOC1,10
0.9529762909144643,ESHOCK_09_LOC1,10
0.775811805848193,hamilton_04,10
0.8490886208958169,hamilton_09,10
0.7299655070867869,acute_15,10
0.9748509546820994,acute_16,10
0.7134750733783628,acute_14,10
0.9382426952963133,acute_12,10
0.8263774066392852,acute_11,10
0.7853258129013352,ESHOCK_04_LOC1,11
0.760425081271437,ESHOCK_06_LOC1,11
0.946058778494215,ESHOCK_07_LOC1,11
0.9891075052121447,ESHOCK_08_LOC1,11
0.898517594431938,ESHOCK_09_LOC1,11
0.7771910596125494,hamilton_04,11
0.8466025543549074,hamilton_09,11
0.7232104136168435,acute_15,11
0.9748761107808367,acute_16,11
0.6781153946752817,acute_14,11
0.942814171189655,acute_12,11
0.8544557461940598,acute_11,11
0.8530256727748784,ESHOCK_04_LOC1,12
0.7516650689215929,ESHOCK_06_LOC1,12
0.9460483487591267,ESHOCK_07_LOC1,12
0.984489601602969,ESHOCK_08_LOC1,12
0.9570862051536458,ESHOCK_09_LOC1,12
0.8127560039781075,hamilton_04,12
0.8490937927744516,hamilton_09,12
0.7404397789738063,acute_15,12
0.976495506301692,acute_16,12
0.7125773232692346,acute_14,12
0.952794392281354,acute_12,12
