ensemble_orig,size,average_degree,average_weight,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,state,bin_width,ensemble_id,prop_total,prop_total_SIR,comp_SIR,prop_total_SR,comp_SR,prop_total_FF,comp_FF,neuron_type_entropy,response_bs_entropy
2,4,1.344146208999027,0.2240243681665045,0.7838366585105337,0.448048736333009,7.368050943466426,0.7326769461453071,1.8420127358666063,1.0,1.0,0.3260869565217391,0.8913043478260869,0.0,2,ESHOCK_08_LOC1,sw,1.0,148,0.13333333333333333,,,0.2,0.5,0.2,0.5,1.0,0.0
3,3,2.637928384963361,0.6594820962408403,0.587509391187767,1.3189641924816806,4.909147259404995,0.5537023687848821,1.636382419801665,1.0,0.3260869565217391,0.0,0.2898550724637681,0.0,3,ESHOCK_08_LOC1,sw,1.0,149,0.1,0.2,0.6666666666666666,0.1,0.3333333333333333,,,0.9182958340544894,0.0
0,7,3.807084618128608,0.3172570515107174,0.6311336026728294,0.6345141030214347,17.355189803212177,0.5656844113967584,2.479312829030311,1.0,1.0,0.0,0.3739837398373984,0.0,0,ESHOCK_09_LOC1,sw,1.0,151,0.19444444444444445,0.125,0.2857142857142857,0.1111111111111111,0.5714285714285714,0.05,0.14285714285714285,1.3787834934861756,1.556656707462823
2,5,3.2532373172626747,0.4066546646578343,0.5441487000908256,0.8133093293156687,8.581255285347492,0.5134065048986466,1.7162510570694984,1.0,1.0,0.0,0.3170731707317073,0.0,2,ESHOCK_09_LOC1,sw,1.0,153,0.1388888888888889,0.0625,0.2,0.05555555555555555,0.4,0.1,0.4,1.5219280948873626,0.0
3,17,17.385706632497914,0.5727849084350087,0.6737719764400277,1.0866066645311196,45.209331800817225,0.4395119721420284,2.659372458871601,0.0,0.6341463414634146,0.0,0.0975609756097561,0.0,3,ESHOCK_09_LOC1,sw,1.0,154,0.4722222222222222,0.125,0.11764705882352941,0.25,0.5294117647058824,0.3,0.35294117647058826,1.37928048729106,1.2210477851797181
0,9,5.027744780285947,0.3535133048638557,0.505662913341545,0.6284680975357434,2.876519040071491,0.392864307702748,0.4109312914387844,0.0,1.0,0.04,0.56,0.0,0,hamilton_04,sw,1.0,157,0.5625,0.2857142857142857,0.4444444444444444,0.3125,0.5555555555555556,,,0.9910760598382222,0.7642045065086203
1,3,0.8922223015670125,0.2230555753917531,0.5760927738672625,0.4461111507835062,1.4880522266259075,0.526485906610171,0.4960174088753026,0.9733333333333334,1.0,0.0933333333333333,0.64,0.0,1,hamilton_04,sw,1.0,158,0.1875,0.07142857142857142,0.3333333333333333,0.0625,0.3333333333333333,0.5,0.3333333333333333,1.584962500721156,0.9182958340544894
2,4,1.158126424954811,0.2895316062387028,0.561696039540022,0.3860421416516037,2.179276401212271,0.4847652588776763,0.5448191003030678,0.9733333333333334,1.0,0.0933333333333333,0.64,0.0,2,hamilton_04,sw,1.0,159,0.25,0.14285714285714285,0.5,0.125,0.5,,,1.0,0.8112781244591328
0,17,6.451731464445755,0.2159043994007438,0.1977855303806252,0.4032332165278597,7.312231194980019,0.1176508758721076,0.5624793226907707,0.0,1.0,0.0,0.0,0.0,0,acute_15,sw,1.0,162,0.5666666666666667,0.2,0.23529411764705882,0.4,0.7058823529411765,0.1,0.058823529411764705,1.0863128407412879,1.289608558348151
1,13,12.913395326207224,0.5450459066256296,0.1977855303806253,1.0761162771839354,7.31223119498002,0.1176508758721077,0.5624793226907708,0.0,0.3370786516853932,0.0,0.0,0.0,1,acute_15,sw,1.0,163,0.43333333333333335,0.3,0.46153846153846156,0.1,0.23076923076923078,0.4,0.3076923076923077,1.5262349099495225,0.3912435636292556
