ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id
0,13,0.5020377470720356,0.04729341095606133,0.010133188442402599,7.266213468231854,0.5714651383432333,0.04183647892266964,0.7397227562953897,0.46966207963466594,0.06724752329958089,0.1254824511155306,0.0,1.0,0.0,0.17777777777777778,0.0,-1,hamilton_36,pre,0.05,-1
1,11,0.07593525899336143,0.011601220123985774,0.010133188442402599,1.5750106052223651,0.5714651383432331,0.007593525899336143,0.7397227562953896,0.46966207963466583,0.06724752329958088,0.1254824511155306,0.9777777777777777,1.0,0.0,0.17777777777777778,0.0,-1,hamilton_36,pre,0.05,-1
0,9,0.3085406732133641,0.042073728165458735,0.01777929259493232,4.697029659172967,0.7061970698567556,0.03856758415167051,1.920163600252691,0.40880380572065306,0.21335151113918788,0.2315530555395617,0.38888888888888884,0.9074074074074073,1.0,0.25925925925925924,0.7777777777777778,-1,hamilton_32,pre,0.05,-1
1,4,0.03624917071918228,0.014499668287672912,0.008363359966720321,0.3540806820447372,0.6098585345586136,0.012083056906394093,0.20908399916800804,0.5904981823933304,0.05227099979200201,0.2315530555395617,1.0,1.0,0.691358024691358,1.0,0.0,-1,hamilton_32,pre,0.05,-1
2,5,0.102833618562068,0.025708404640517,0.015562756031598006,1.4790589667694165,0.7521023449545572,0.025708404640517,0.9648908739590766,0.6523680905478746,0.1929781747918153,0.2315530555395617,1.0,0.9506172839506173,1.0,1.0,0.7777777777777778,-1,hamilton_32,pre,0.05,-1
3,4,0.07538268993553518,0.02512756331184506,0.014050427431560018,1.2007581153619817,0.8392311125119328,0.02512756331184506,0.899227355619841,0.7488830132526392,0.22480683890496025,0.2315530555395617,1.0,0.9506172839506173,1.0,1.0,0.7777777777777778,-1,hamilton_32,pre,0.05,-1
4,4,0.13270329034141604,0.044234430113805345,0.010979216775541454,1.0468363498161126,0.5439926930228334,0.044234430113805345,0.5160231884504485,0.4929358715343551,0.12900579711261212,0.2315530555395617,1.0,0.9074074074074073,0.32407407407407407,0.7777777777777778,0.06481481481481481,-1,hamilton_32,pre,0.05,-1
5,2,0.2177102952361484,0.2177102952361484,0.014639197338416303,0.8745965106247858,0.5448721049003203,0.2177102952361484,0.4391759201524891,0.5021468926725478,0.21958796007624454,0.2315530555395617,1.0,0.8425925925925926,0.32407407407407407,0.7777777777777778,0.7777777777777778,-1,hamilton_32,pre,0.05,-1
6,3,0.18747975162652417,0.14060981371989312,0.022354239055306528,1.5013172952024463,0.722638766237743,0.09373987581326208,0.9388780403228739,0.6253694960573076,0.3129593467742913,0.2315530555395617,1.0,0.8425925925925926,1.0,1.0,0.9259259259259259,-1,hamilton_32,pre,0.05,-1
0,3,0.21486862503535706,0.1611514687765178,0.013973898413880182,0.7563970624171126,0.17016730844934763,0.10743431251767853,0.11179118731104146,0.14779431711937902,0.03726372910368048,0.4693250849936065,0.3181818181818182,0.2727272727272727,0.0,0.0,0.0,0,hamilton_04,base_shock,0.05,9
1,8,0.339202118382025,0.07537824852933889,0.012354426126985315,3.0101231741038483,0.2065995405316759,0.048457445483146434,0.2965062270476475,0.10809651926048783,0.03706327838095594,0.4693250849936065,0.20454545454545453,0.7727272727272727,0.0,0.0,0.0,-1,hamilton_04,base_shock,0.05,-1
2,5,0.34044536831247213,0.10638917759764754,0.015797374146692095,1.9865795762028182,0.2186316572202563,0.08511134207811803,0.28435273464045774,0.14313684588662406,0.05687054692809155,0.4693250849936065,0.20454545454545453,0.6818181818181818,0.0,0.0,0.11363636363636363,-1,hamilton_04,base_shock,0.05,-1
0,5,0.28873093604841604,0.07218273401210401,0.03520728848512953,3.098397239043168,0.7515942573617781,0.07218273401210401,1.6547425588010876,0.5340640438061122,0.3309485117602175,0.11911464488295456,0.9545454545454546,0.9545454545454546,0.5454545454545454,0.4545454545454546,0.48484848484848486,-1,hamilton_09,base_shock,0.05,-1
1,6,0.6487851250234633,0.14971964423618384,0.042412546064486724,5.928512961236143,0.7695735580917916,0.12975702500469266,2.0358022110953633,0.42618184681333937,0.3393003685158939,0.11911464488295456,0.0,0.6363636363636364,0.5454545454545454,0.4545454545454546,0.48484848484848486,-1,hamilton_09,base_shock,0.05,-1
2,4,0.09546415707716827,0.031821385692389424,0.035042850564140866,1.6784420991818851,0.9161289948127419,0.031821385692389424,1.296585470873212,0.7724934160702954,0.324146367718303,0.11911464488295456,1.0,1.0,1.0,0.9696969696969697,0.48484848484848486,-1,hamilton_09,base_shock,0.05,-1
0,17,0.12154802943878848,0.010762065106559396,0.009818453278464269,5.335861442188006,0.8432426530821882,0.00759675183992428,3.269544941728602,0.6127492209370233,0.19232617304285893,0.12173186193444685,0.7457627118644068,1.0,0.6610169491525424,0.3050847457627119,0.0,-1,hamilton_31,base_shock,0.05,-1
1,11,0.09274795045582246,0.013424045460711145,0.00935628596677683,3.078610367704949,0.7937965792322432,0.009274795045582247,2.0583829126909015,0.6686078024954455,0.18712571933553648,0.12173186193444685,0.8135593220338984,1.0,0.2033898305084746,0.3389830508474576,0.0,-1,hamilton_31,base_shock,0.05,-1
2,6,0.09352239363270694,0.023380598408176734,0.008864756335048986,1.704687929017561,0.7350150181021383,0.01870447872654139,1.143553567221319,0.6708286882047481,0.1905922612035532,0.12173186193444685,0.8135593220338984,0.847457627118644,0.0,0.3389830508474576,0.0,-1,hamilton_31,base_shock,0.05,-1
3,18,0.29719985247323455,0.019813323498215636,0.010834452669948674,9.401682643079027,0.8314326876948812,0.017482344263131444,4.052085298560804,0.43099575388706757,0.22511584992004463,0.12173186193444685,0.0,0.847457627118644,0.6610169491525424,0.0,0.11864406779661017,-1,hamilton_31,base_shock,0.05,-1
0,11,0.5010393062059078,0.05863225923686155,0.016859761246886946,7.0625304029785845,0.2763211615373196,0.05010393062059078,1.5510980347135996,0.2196235550447234,0.14100891224669088,0.328484913348766,0.4891304347826087,1.0,0.0,0.0,0.0,-1,hamilton_38,base_shock,0.05,-1
