ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,state,bin_width,ensemble_id
0,3,0.07825176577985417,0.05868882433489062,0.03147907358335681,0.4551088124230601,0.6655463830543262,0.039125882889927084,0.22035351508349768,0.4841776495390325,0.07345117169449923,0.1326100368219948,0.7037037037037037,0.7777777777777778,0.4074074074074074,0.7037037037037037,0.5185185185185185,-1,hamilton_03,act,0.1,-1
1,6,0.1657656877886925,0.03825362025892904,0.03147907358335681,1.2149476418156526,0.6655463830543262,0.0331531375577385,0.22035351508349768,0.4841776495390325,0.07345117169449923,0.1326100368219948,0.14814814814814814,0.7777777777777778,0.4074074074074074,0.7037037037037037,0.5185185185185185,-1,hamilton_03,act,0.1,-1
0,3,0.06566706793942491,0.049250300954568685,0.024165999392861306,0.4869931965326104,0.6888122786980075,0.032833533969712454,0.2899919927143356,0.5954744230085296,0.09666399757144521,0.3680942257050293,0.9487179487179487,0.9230769230769231,0.9487179487179487,0.9743589743589743,0.6153846153846154,-1,hamilton_04,act,0.1,-1
1,6,0.10155579257140497,0.027697034337655902,0.014873459413038985,0.9216774031022488,0.45576997936474206,0.020311158514280996,0.3123426476738187,0.3388850010019917,0.05205710794563645,0.3680942257050293,0.9487179487179487,0.9230769230769231,0.34188034188034183,0.41025641025641024,0.3076923076923077,-1,hamilton_04,act,0.1,-1
2,4,0.33383815043878895,0.1335352601755156,0.023361281050353025,1.7091330985608042,0.41701254992517756,0.11127938347959632,0.3737804968056484,0.2186959559325103,0.0934451242014121,0.3680942257050293,0.0,0.20512820512820512,0.34188034188034183,0.20512820512820512,0.6153846153846154,-1,hamilton_04,act,0.1,-1
3,3,0.11981307056508977,0.05990653528254489,0.0077771206641084846,0.4760960216568966,0.2824442454724056,0.05990653528254489,0.11665680996162726,0.24502790331169197,0.038885603320542424,0.3680942257050293,0.9487179487179487,0.9230769230769231,0.20512820512820512,0.20512820512820512,0.10256410256410256,-1,hamilton_04,act,0.1,-1
0,2,0.05526160613287599,0.05526160613287599,0.02247924354178079,0.2678779170582175,0.6462323686986117,0.05526160613287599,0.15735470479246552,0.5874120066353504,0.07867735239623276,0.16924002779699243,1.0,0.9714285714285714,1.0,1.0,0.7857142857142857,-1,hamilton_09,act,0.1,-1
1,3,0.07720470259605412,0.03860235129802706,0.02600650245796167,0.6217116446575874,0.7955057492952313,0.03860235129802706,0.39009753686942505,0.6274573433223603,0.13003251228980836,0.16924002779699243,1.0,0.9714285714285714,1.0,1.0,0.9428571428571428,-1,hamilton_09,act,0.1,-1
2,2,0.02430826064674517,0.02430826064674517,0.01451355593889087,0.13569785692683556,0.6727486377057621,0.02430826064674517,0.08708133563334522,0.6417296308540599,0.04354066781667261,0.16924002779699243,1.0,0.9714285714285714,1.0,1.0,0.14285714285714285,-1,hamilton_09,act,0.1,-1
3,2,0.040448561543357305,0.040448561543357305,0.024103137648469428,0.3701347748683478,0.893854970541668,0.040448561543357305,0.2892376517816332,0.7814387391309323,0.1446188258908166,0.16924002779699243,1.0,0.9714285714285714,1.0,1.0,0.9428571428571428,-1,hamilton_09,act,0.1,-1
4,4,0.26219754072445844,0.10487901628978338,0.031177474166557962,1.5476297495627611,0.6798077988070095,0.08739918024148614,0.49883958666492745,0.35748291017918327,0.12470989666623186,0.16924002779699243,0.0,0.7142857142857142,1.0,1.0,0.9428571428571428,-1,hamilton_09,act,0.1,-1
0,7,0.1489451531128411,0.024824192185473513,0.021648479689821847,2.9909792438738534,0.6878891905395141,0.024824192185473513,1.9483631720839667,0.6514131370435349,0.27833759601199526,0.18423303146449505,1.0,1.0,0.8985507246376812,0.9565217391304348,0.0,-1,acute_15,act,0.1,-1
1,9,2.517569582820345,0.3146961978525431,0.10846632300733133,31.010033116947625,0.5981987565899728,0.3146961978525431,8.351906871564514,0.32886957399712907,0.9279896523960571,0.18423303146449505,0.0,0.34782608695652173,0.21739130434782608,0.0,0.5869565217391305,-1,acute_15,act,0.1,-1
2,4,0.10655624628663932,0.03551874876221311,0.0196496715767034,1.0353648040243628,0.5993346866022732,0.03551874876221311,0.6091398188778057,0.5883335192679315,0.15228495471945142,0.18423303146449505,1.0,1.0,0.21739130434782608,0.9565217391304348,0.0,-1,acute_15,act,0.1,-1
